Index,Reference,Hypothesis
1,A URINAL IN A PUBLIC RESTROOM NEAR A WOODEN TABLE,A URINAL IN A PUBLIC RESTROOM NEAR A WOODEN TABLE
2,A WHITE URINAL WHITE TILES A RED TABLE WITH A DISH,A WHITE MURINAL WHITE TIN ESIDE PEOPLE I TOGETH
3,A TABLE WITH A PLATE OF FOOD AND A URINAL BASIN,A TABLE WITH A PLATE OF FRUIT AND A MODEN LITH TACE
4,A LITTLE RED TABLE WITH A PLATE ON IT IN THE BATHROOM,A LITTLE RED TABLE WITH A PLAE ON IT IN THE BATHRUND
5,A URINAL NEXT TO A RED TABLE WITH A PLATE SITTING ON THE TABLE,A RIRO NEXT TO A RED TIBE DIISPLAY SITTING ON A TI
6,A WOMAN HOLDING AN UMBRELLA WALKS PAST THE SIDE OF A BUS WITH A LARGE ADVERTISEMENT ON THE SIDE,A WOMAN HOLDING AN UMBRELLA WALKS PAST THE SIDE OF A BUS WITH A LARGE ADVERTII
7,A WOMAN WITH AN UMBRELLA IS WALKING PAST A BUS,A WOMAN WITH AN UMBRELLA IS WALKING PAST A BUS
8,A WOMAN WALKING DOWN THE SIDEWALK NEXT TO A BUS,A WOMAN WALKING DOWN THE SIDEWALK ON A FIELD
9,WOMAN WALKING NEXT TO COMMUTER BUS WITH UMBRELLA ON RAINY DAY,A WOMAN WALKING NEXT TO A COMMUTER BUS WITH UMBRELLA ON A RAIN
10,A WOMAN HOLDING AN UMBRELLA AND WALKING BESIDE A BUS,A WOMAN HOLDING AN UMBRELLA AND WALKING BEHIND A BUS
11,BLACK AND WHITE PHOTOGRAPH OF YOUNG SCHOOLBOYS,BLACK AND WHITE PHOTOGRAPH OF YOUNG SCOER BOYS
12,A BLACK AND WHITE PHOTO OF CHILDREN SITING POSING FOR A PHOTO,A MIKE AND WHITE PHOTO OF CIBY SITTING SATIN SEEBORDE
13,A GROUP OF BOYS IN SUITS HOLDING A CHALKBOARD,A GROUP OF BOYS IN FUIT HOLDING A CROSSBALL
14,SCHOOL BOYS SIT CROSS LEGGED IN FRONT OF A CHALKBOARD SIGN IN A VINTAGE BLACK AND WHITE PHOTO,TE BEDS WITH TOTSADING IN FRONT F SACLAR SEN IN FRINT OF BAKAN IR PATE
15,SCHOOL CLASS PHOTO FROM THE BOYS SCHOOL OF STANDARD SOUTH CAROLINA,TO COK TATERS IN A A TA INE SAPTON
16,A MAN ON SKIS FLY THROUGH THE SKY,A MAN ON SKIS FLIS THROUGH THE SKY
17,THE SKIER TAKES OFF DOWN THE STEEP HILL,A SKIER PAKES OUT DOWN TA DEEP SLOPE
18,A MAN IS SKIING IN MID JUMP ONTO A RAMP,THE MAN IS FILLING A MIDBRASS ON FOOD EAC
19,THE SKIER IS LEANING FORWARD WHILE JUMPING THROUGH THE AIR,THE SKATER IS LEAVING OVOT JOME CONPUTER
20,A MAN FLYING THROUGH HE AIR WHILE RIDING,A MAN FLYING THROUGH THE AIR WHILE RIDING
21,A BASEBALL PLAYER IN A BATTING STANCE AT HOME PLATE WITH THE CATCHER IN POSITION TO CATCH A PITCH,A BASEBALL PLAYER AND A BATTER FEID CUT ON PLATE WITH A BATCHER IN PEDITIONED TO PAT A PITT
