Index,Reference,Hypothesis
1,A URINAL IN A PUBLIC RESTROOM NEAR A WOODEN TABLE,A URINAL IN A PUBLIC RECKROOM NEAR A WOODEN SINK
2,A WHITE URINAL WHITE TILES A RED TABLE WITH A DISH,A WHITE ANDMOL OT A TILET WITH AN TABLE IN TIDEI
3,A TABLE WITH A PLATE OF FOOD AND A URINAL BASIN,A TABLEM WITH A PIET AND INK A DIN TE SIT
4,A LITTLE RED TABLE WITH A PLATE ON IT IN THE BATHROOM,A LITDLE BED TABLE I ETINT ONO BATHROOM
5,A URINAL NEXT TO A RED TABLE WITH A PLATE SITTING ON THE TABLE,A LIVING MOVNENT O THE FANT TABLE WITTOY SITTING ON THE TABLE
6,A WOMAN HOLDING AN UMBRELLA WALKS PAST THE SIDE OF A BUS WITH A LARGE ADVERTISEMENT ON THE SIDE,A WOMAN HOLDING AN UMBRELLA LAK PAST THE SIDE OF A BENCH WITH A LARGE ACKET IIN INSID
7,A WOMAN WITH AN UMBRELLA IS WALKING PAST A BUS,A WOMAN WOTH AN UMBRELLA AN WALKING ON F A TRACK
8,A WOMAN WALKING DOWN THE SIDEWALK NEXT TO A BUS,TWO WOMEN WALKING DOWN THE SIDEWALK NEXT TO ATHER
9,WOMAN WALKING NEXT TO COMMUTER BUS WITH UMBRELLA ON RAINY DAY,A WOMAN WALKING NEXT TWO COMMUTER BIKES AN ROLL ON A RAIN DA
10,A WOMAN HOLDING AN UMBRELLA AND WALKING BESIDE A BUS,A WOMAN HOLDING AN UMBRELLA AND WALKIN BESIDE A BUS
11,BLACK AND WHITE PHOTOGRAPH OF YOUNG SCHOOLBOYS,BLACK AND WHITE PHOTOGRAPH OF YOUN IOA
12,A BLACK AND WHITE PHOTO OF CHILDREN SITING POSING FOR A PHOTO,A PACKETIT PHOTA OFPOTIN AN ENCOSIN NE TAE
13,A GROUP OF BOYS IN SUITS HOLDING A CHALKBOARD,A GROUP OF BOYS IN FOOT HOLDING A LASSTOP
14,SCHOOL BOYS SIT CROSS LEGGED IN FRONT OF A CHALKBOARD SIGN IN A VINTAGE BLACK AND WHITE PHOTO,TOBOLS IT CON SITTING IN FRONT OF CAMTER STANDING AND INTOF TATNEER TWO
