Index,Reference,Hypothesis
1,A URINAL IN A PUBLIC RESTROOM NEAR A WOODEN TABLE,A URINAL IN A PUBLIC RESTROOM UNERAN EBENGE IN IMIN
2,A WHITE URINAL WHITE TILES A RED TABLE WITH A DISH,A WHITE ON IN MAOR ENTILE AC I O EX TOI WI IN O  FOR
3,A TABLE WITH A PLATE OF FOOD AND A URINAL BASIN,A TABLE WITA MADE OE ON ANIIITIN A PASEWAL A
4,A LITTLE RED TABLE WITH A PLATE ON IT IN THE BATHROOM,A LIVING ROOM TABIN ROOM THI LAYN ON AIDOWOF THE WAL
5,A URINAL NEXT TO A RED TABLE WITH A PLATE SITTING ON THE TABLE,AA BITI OL WINDOW IT ON I O O ITIN OEO
6,A WOMAN HOLDING AN UMBRELLA WALKS PAST THE SIDE OF A BUS WITH A LARGE ADVERTISEMENT ON THE SIDE,A WOMAN HOLN A RILER ONA WALKS PAST ESIDEA ROSAL ON ANN ATR SIN RA IE IRRR
7,A WOMAN WITH AN UMBRELLA IS WALKING PAST A BUS,A A AN WITDING N UMBRELLA IS HOLDING E PASSE RUD
8,A WOMAN WALKING DOWN THE SIDEWALK NEXT TO A BUS,A WOMAN WALKING OWN A CAR WALKING ON TOBOINA
9,WOMAN WALKING NEXT TO COMMUTER BUS WITH UMBRELLA ON RAINY DAY,OWOMEN WALKING NEXT TO A COMMUTINAR UNAN UMBRELLA ON A RAINY AIR
10,A WOMAN HOLDING AN UMBRELLA AND WALKING BESIDE A BUS,A WOMAN WOLKING  OVERELA AND WILE INBESIDE A BAR
11,BLACK AND WHITE PHOTOGRAPH OF YOUNG SCHOOLBOYS,A BLACK AND WHITE FILLED OK WITH BID SCONINTO A CI
12,A BLACK AND WHITE PHOTO OF CHILDREN SITING POSING FOR A PHOTO,A BLACLY WARI WOLS CHAIKEN SITS ON ON TH OTORSIDE ITH A TA
13,A GROUP OF BOYS IN SUITS HOLDING A CHALKBOARD,AN OLDERPOKIN IN A COMPETEN SION OKING ON A SORF
14,SCHOOL BOYS SIT CROSS LEGGED IN FRONT OF A CHALKBOARD SIGN IN A VINTAGE BLACK AND WHITE PHOTO,A SCHOLAIN AS MA AN IMAGE ONOTER SITI RIT ITERS WOEN URIN O
15,SCHOOL CLASS PHOTO FROM THE BOYS SCHOOL OF STANDARD SOUTH CAROLINA,SAMAN ASING ON TOGRASS ON A E OSO
16,A MAN ON SKIS FLY THROUGH THE SKY,AGARI ON SKI BOARD FLIDE THROUGH THE SKY VER E PAR
17,THE SKIER TAKES OFF DOWN THE STEEP HILL,A SKIER TAKES OFFY DOWN E STAY MOUNTAIN
18,A MAN IS SKIING IN MID JUMP ONTO A RAMP,A MAN RODING A PIRS ONIIN SATING OF A TAN A ON AA BOARD
19,THE SKIER IS LEANING FORWARD WHILE JUMPING THROUGH THE AIR,HE SKIER IS LEADING VIEW OF TEI OATE ABORD
20,A MAN FLYING THROUGH HE AIR WHILE RIDING,A MAN FLYING  THROUGH IN THE AIR WHILE RUNING A RIDING OVER A WOR
21,A BASEBALL PLAYER IN A BATTING STANCE AT HOME PLATE WITH THE CATCHER IN POSITION TO CATCH A PITCH,A BASEBALL PLAYER AN A RABBET STANDS AT HOME PLATETA CATCHER IN POSITION TO CATCH A PITCH T
22,A MAN AT BAT WAITING FOR A PITCH WITH A CATCHER AND UMPIRE BEHIND HIM AND PLAYERS FROM THE OPPOSING TEAM IN THE DUGOUT,A MENNIS MAN IN KITIBOARDINO ON A LA AL NAL AANAN BOS A IN READY TO SHA
23,A HITTER IS WAITING FOR THE PITCH TO BE THROWN,A MAN WAITING FOR THE PITCH TO HAT A BALLBL
24,A BASEBALL PLAYER HOLDS HIS BAT AND WAITS FOR THE PITCH,A BASEBALL PLAYER HOLDS HIS BAT AND PLAY SOFGA MATCH
25,A BASEBALL PLAYER HOLDING A BAT NEXT TO A BASE,A BASEBALL PLAYER HILDING MAN INI ANA GAMEN ATBALL
26,TWO MEN PLAY THE NINTENDO WII CONSOLE WHILE OTHERS WATCH,TO OF PEOPLE PLAYING IN A LIVING ROOM COLSONON AND OTHERS WATCH
27,TWO FRIENDS ARE PLAYING EACH OTHER ON THE WII,TWO FRIENDS REPAN ITE OGGAGE CA IIN A DON OU
28,THE TWO MEN ARE PLAYING VIDEO GAMES WHILE OTHERS WATCH,ACHIIN PITIN TOY ARM OA A AGE WHILE OTH OPLE
29,A COUPLE OF PEOPLE STANDING IN A ROOM WITH SOME REMOTES,A COUPLE OF PEOPLE STANDING IN A FROM FOOLDING SOMEPHINE ON ESORT
30,TWO COLLEGE AGE BOYS PLAYING WII WHILE OTHERS LOOK ON,TWO MAN AS MEADING A WOMAN IN AN TOV COLLEG O CONTROLLS PLAYING I IOOTERSAN
31,A BIRD IS WALKING RIGHT THROUGH A DINING ROOM,A GOIN WARKING BRIGHT NEXT TO A LINE OF OR
32,A BIRD WALKING THROUGH A CAFETERIA NEXT TO A TABLE,A VAR WALKING ONO CONNECTED TO A LAR A
33,A GOOSE WALKING INSIDE OF A CAFETERIA AREA,A BLUE STALL INSIDE OF ACANEXS WITH A VE
34,A BIRD WALKING ON A TILED FLOOR IN A CAFETERIA,A NOUMBER OF WATE STOP NEXT N  BAKO AIR IN  II RO
35,A WHITE AND BLACK BIRD IS WALKING BY A TABLE AND SOME CHAIRS,A WHITE AN PITEVOO RON A TABLE AN INOF SHAITER
36,A CLOSE UP OF A DOLL LAYING IN A BED WITH A BOOK,AMAN TOS UP O HAT DOG LAYING WITH IN A BEDIN I
37,AN OLD DOLL LAYING ON A BED WITH A BOOK,AARE OD A ET LAYING IN A BED WITA
38,A VINTAGE BABY DOLL WITH THE BOOK GOODY TWO SHOES ON ITS LAP,OTAIN A LAYER DODIN  BAR WIT A BAED ON AE BED
39,A DOLL WITH A BONNET AND A BOOK ON A PILLOW,A DOG LOOKING A LOER LANING A BOD ON A BILLOW
40,A BABY DOLL LAYING ON TOP OF A BED UNDER A BOOK,A BABY DOG LAYNG OUTOP OF A BED N A BOG
41,A CLOCK SHAPED LIKE AN APPLE SITTING ON A COUNTER,CLOCK SHAPE LIKEAN APPLE SITTING ON A TO
42,A CLOCK THAT LOOKS LIKE AN APPLE A PENGUIN AND A POTTED PLANT,A CLOCKEK OF A NICOCAHOL A HAON AND A TOET HAG
43,A RED APPLE WITH A CLOCK INSIDE OF IT,ANAN APPLE IT JOPPIN MUGEN ON OL WATTLE
44,AN ALARM CLOCK THAT IS SHAPED LIKE AN APPLE,ACOPO OW WIT A SINK ON TE TAK OF A POWR
