Index,Reference,Hypothesis
1,A URINAL IN A PUBLIC RESTROOM NEAR A WOODEN TABLE,A URINAL IN A PUBLIC RESTUROM ILE URING PUTTING A BOD
2,A WHITE URINAL WHITE TILES A RED TABLE WITH A DISH, WHITE HAIRBON WADERS TATCHES AMAN TOLDER WAR A OTE ON
3,A TABLE WITH A PLATE OF FOOD AND A URINAL BASIN,A TABLE OF FOODEN MADE AOAITA S 
4,A LITTLE RED TABLE WITH A PLATE ON IT IN THE BATHROOM,A LITTLE RED TABLE WITH A PLAING ON A AN ATE
5,A URINAL NEXT TO A RED TABLE WITH A PLATE SITTING ON THE TABLE,TRAFFIC VEMA ANGLASES LOFDISICLY HOLDING UMELA
6,A WOMAN HOLDING AN UMBRELLA WALKS PAST THE SIDE OF A BUS WITH A LARGE ADVERTISEMENT ON THE SIDE,A WOMAN HOLDIN UP UMBRELLA ANAND DUCKS PASSED THE SIDE OF A BUS IT A LARGE ATE IE ROS
7,A WOMAN WITH AN UMBRELLA IS WALKING PAST A BUS,A WOMAN WITH AN UMBRELLA IS WALKING TE AS O GIS
8,A WOMAN WALKING DOWN THE SIDEWALK NEXT TO A BUS,A WOMAN BLOKING WHILE E KIE OCEIN NEXT TO E OTHER
9,WOMAN WALKING NEXT TO COMMUTER BUS WITH UMBRELLA ON RAINY DAY,YO WOMAN WALKING NEXT TO COMMETER BUS WITH UMBRELLA ON A RAINY DAY
10,A WOMAN HOLDING AN UMBRELLA AND WALKING BESIDE A BUS,A WOMAN HOLDG T UMBRELLA AND WALKING BESIDE A BAS
11,BLACK AND WHITE PHOTOGRAPH OF YOUNG SCHOOLBOYS,A BLACK AND WHITE PHOTOGRAPHD OF BITSS
12,A BLACK AND WHITE PHOTO OF CHILDREN SITING POSING FOR A PHOTO,A MAGNITLIT FOT OF CHIKEN SIT CLANS A ON
13,A GROUP OF BOYS IN SUITS HOLDING A CHALKBOARD,A COUPLE OF OPEI FROM THE BIDGE ON THE FRONT LAGE OF A BU
14,SCHOOL BOYS SIT CROSS LEGGED IN FRONT OF A CHALKBOARD SIGN IN A VINTAGE BLACK AND WHITE PHOTO, I BASSBL AN TANIGE ON THE OTHER SIDE OF  AND SOMEA O LAR OVEOT
15,SCHOOL CLASS PHOTO FROM THE BOYS SCHOOL OF STANDARD SOUTH CAROLINA,APIMALS TAG ONDIAN WITH A SOCOISTERIERS IN TE RO
16,A MAN ON SKIS FLY THROUGH THE SKY,AKIA MAN ON HIS SKIS FLYING THROUGH O SKY
17,THE SKIER TAKES OFF DOWN THE STEEP HILL,TWO SKIER TAKES OFF GOWN THE SKIIA
18,A MAN IS SKIING IN MID JUMP ONTO A RAMP,A BANA I SINON ASI TRUK AN TO IR A LIHT OER
19,THE SKIER IS LEANING FORWARD WHILE JUMPING THROUGH THE AIR, SKIER IS LEAVING TOTHES WHILE JUMPING AND RANIN  KOEBOARD
20,A MAN FLYING THROUGH HE AIR WHILE RIDING,A MAN FLYING THROUGH THE AIR WHINE RUNNING WA
21,A BASEBALL PLAYER IN A BATTING STANCE AT HOME PLATE WITH THE CATCHER IN POSITION TO CATCH A PITCH,A BASEBALL PLAYER IN A BATTER STANCE AT PLATE WIT THE CATCHER IN POSITIONED TO CATCH A HITCH
22,A MAN AT BAT WAITING FOR A PITCH WITH A CATCHER AND UMPIRE BEHIND HIM AND PLAYERS FROM THE OPPOSING TEAM IN THE DUGOUT,AR MATON BA ON CETI PORKINFOFA OS A ANO HYSANON ON ITH ANANCOSE H OCEAN AND 
23,A HITTER IS WAITING FOR THE PITCH TO BE THROWN,A HITTER IS WOATING FOR THE PITCH TO A COCK
24,A BASEBALL PLAYER HOLDS HIS BAT AND WAITS FOR THE PITCH,A BASEBALL PLAYER HOLDS HIS BAT AND WAITS OVER THE NEXTTO
25,A BASEBALL PLAYER HOLDING A BAT NEXT TO A BASE,A BASEBALL PLAYER HOLDING BATH NEXO A SINKIN E PARK
26,TWO MEN PLAY THE NINTENDO WII CONSOLE WHILE OTHERS WATCH,IFFENT LEGS ONDO WI ARSO WHILE THE OTHERS WATCH
27,TWO FRIENDS ARE PLAYING EACH OTHER ON THE WII,ATWO FRIENDS ARE POLATING IT EACH OTHER A LONG ATHE
28,THE TWO MEN ARE PLAYING VIDEO GAMES WHILE OTHERS WATCH,TTHE TO LION THE PLAS VICEN LAVS WHILE UGLY FLY
29,A COUPLE OF PEOPLE STANDING IN A ROOM WITH SOME REMOTES,A COUPLE OF ANIPLES STANDING IN A ROOM FULL OF SOMEMOT
30,TWO COLLEGE AGE BOYS PLAYING WII WHILE OTHERS LOOK ON,TWO COLLE ER WIC OLIS PLAYNG IN IT WIL S
31,A BIRD IS WALKING RIGHT THROUGH A DINING ROOM,A BIRD IS WALKING FRII  A GIAT 
32,A BIRD WALKING THROUGH A CAFETERIA NEXT TO A TABLE,VARIO FOUR PIN O ONNE BANAA SITTIN MUS TABLE
33,A GOOSE WALKING INSIDE OF A CAFETERIA AREA,A COS WALKING INSIDE A CANNEX II
34,A BIRD WALKING ON A TILED FLOOR IN A CAFETERIA,A COUPER OF WATER SY HARD IN AT   ON A SMALL ROAD
35,A WHITE AND BLACK BIRD IS WALKING BY A TABLE AND SOME CHAIRS,A WHITE MIKE WITH A POTO PAT ON A TABLE ON PIECE OF SHUF
36,A CLOSE UP OF A DOLL LAYING IN A BED WITH A BOOK,MAN CLOSE UP OF A DOLL LAY IN A BEDO
37,AN OLD DOLL LAYING ON A BED WITH A BOOK,EPLE ARCIAL STOGS ARE LAYING IN A BED RIMED ITVEEL
38,A VINTAGE BABY DOLL WITH THE BOOK GOODY TWO SHOES ON ITS LAP,NO E EVNING IN A LADE POE IT AN ITE ECHARAS AN BRELLA
39,A DOLL WITH A BONNET AND A BOOK ON A PILLOW,A DOG IT A MANITS IN A BOOK ON A PILLAW
40,A BABY DOLL LAYING ON TOP OF A BED UNDER A BOOK,A BABY DOLL ON A PLAT ON A MOCKOF SESS AFTER UNBOTFIELD
41,A CLOCK SHAPED LIKE AN APPLE SITTING ON A COUNTER,CLOCK SHAPED AN TE APPLES SITTING ON A TABLE
42,A CLOCK THAT LOOKS LIKE AN APPLE A PENGUIN AND A POTTED PLANT, LONG ECKLE OF NICK AN APPLE ANGREN AND ASTARLIC CAT
43,A RED APPLE WITH A CLOCK INSIDE OF IT,A PUSE BED HAS O FOO TOP INSIDE
44,AN ALARM CLOCK THAT IS SHAPED LIKE AN APPLE,AN OLINA LINEAR THE SET AN I FONT OF A E
45,A PLASTIC APPLE CLOCK ON A TABLE SURFACE,A PASTIC APPLE ITH OAN IICTOESERACE
46,HORSES WITH JOCKEYS RACING ACROSS THE COAST OF SOME BEACH,A HORSES MIFFING ON WOMAN RACEN FON FRONT OF A TERSAN BESIDE THEM
47,A GROUP OF PEOPLE ON HORSES RACING TOGETHER,MANY PEOPLE ON HORSES RACING TOGETHER
48,THREE PEOPLE RACE THEIR HORSES DOWN A BEACH,A ZEBRA S ICING AS TAFON TO TE METETANS AN E PINGE WATCH
49,THE HORSES ARE RACING EACH OTHER ALONG THE BEACH,THE HORSES ARE FACING EACH OTHER ALONG E BEACILY
50,A BLACK AND WHITE PHOTO OF JOCKEYS RIDING THEIR HORSES,ESTRICTS MARKING WATER THATA TADICAL TAG ON ONSE DISPRAY
51,A PASSENGER TRAIN MOVING DOWN THE TRAIN ON A BRIDGE,SO GIRAFFES  LARGE RAN EE DOWN THE ARAN A MARK OR ITS 
52,A LARGE LONG TRAIN ON A STEEL TRACK,A LARGE LONG TRAIN US INTARIOSA I
53,A TRAIN THAT IS ON A RAIL OVER A BRIDGE,A TRAIN THAT IS ON A RAIL OVER A BRIDGE
54,A TRAIN ON TOP OF AN OVERPASS BRIDGE SET OF TRAIN TRACKS WITH FIELDS ON BOTH SIDE, TRAIN STOP ACROSSING OM PASSET OTHER TRAIN TRAK ARA
55,TRAIN MOVING ALONG RAISED TRACKS WITH MOUNTAIN IN BACKGROUND,A TRAIN MOVING EWOL GRAZE TRAES ITH  LO ITER MONA
56,A TEDDY BEAR SITTING IN FRONT OF A PILE OF BOXES,OJAR IN A ANIGOANAN PRECESSIONAL
57,A TEDDY BEAR NEXT TO FOUR BOXES ON THE FLOOR,A PAKER CONTAINA LINNOX TO FOUR ROCXES ON THE TOPOR
58,A TEDDY BEAR SITTING ON THE GROUND IN FRONT OF MANY BOXES,A TEDDY BEAR SINA MUS GRY ON A IT BOX ON SA
59,A TEDDY BEAR IS SITTING IN FRONT A GROUP OF BOXES,TEDDY BEAR SITTING DOWN A LOQUMEN BOKS IN FROTE O
60,A BIG TEDDY BEAR SITTING NEXT TO SOME BOXES,ALATSOTUED TO A HILL SIT  BANCHES AND BOXES
61,A SEAGULL STANDS ON THE BEACH IN FRONT OF A WAVE,A FLOS OF GREE A PEOPSTAAR OVE I TITH A BRIDGE
62,A SEAGULL STANDING NEAR THE OCEAN ON THE SAND,A SEAGULLS ON THE BAND TO A REFTAAN SINK
63,A SEAGULL STANDING ON THE SAND NEAR THE WATER,A SEAFRIS ANDIN LARGE SAND IS NEAR WATER
64,THE BIG BIRD IS STANDING ON THE BEACH BY THE WATER,THE NAT BOK IS ASTANUS IN TE I
65,A SEAGULL STANDING ON THE SAND OF A BEACH,A ZEAGULL STANDING ON A SAND ON  A BEACH
66,A BUS FULL OF HAPPY TOURISTS DRIVES DOWN THE STREET,A TRUCK COER TOCKING IN DI ACES I A RO  AS NOSHAT IN A OT
67,DOUBLE DECKER BUS WITH PEOPLE ON THE TOP FLOOR ON ROAD,O O CAS TRACKIN IA WING ON MONT ARD A AN ENNAND
68,A DOUBLE DECKER BUS WITH PEOPLE WAVING FROM THE TOP,A SOPEAT PROFASIONAL TRANS ERECTING ON THE DRUNK
69,A DOUBLE DECKER BUS DRIVING DOWN A STREET,A DOUBLE DECKER CARS DRIVING DOWN A STREET NTRE
70,RED DOUBLE DECKER BUS WITH PEOPLE STANDING ON TOP,AN YELLE AN PLACIC AS IS STANDING ON TOP
71,A MAN LEANING HIS MOUTH DOWN TO A PLATE THAT HAS A SANDWICH ON IT AND A BLUE WATER BOTTLE BEHIND IT,A MAN LEANING AT MOUTHA CONCERTSANDWICH ON A OBO ON E ONROA
72,A MAN TAKING A BITE OF A SANDWICH WITHOUT USING HIS HANDS,A MAN TAKING A POT OF A SANDWICH GAFI  TAKING ROLI EPL
73,A MAN EATING A SANDWICH OFF OF A WHITE PLATE,A GERSY SANDWICH OP OF A WHITE PLAT
74,A SMILING GUY STICKING HIS FACE NEAR A BIG SANDWICH,A SMILIN GUY STIN ICE PACE NEAR A BIG SENTASE
75,WITHOUT USING HANDS A MAN TRIES TO BITE A PAIR OF SANDWICHES,AN ONT DRIPLING SIMAN OF AFINE TRAES ELI IE SIGNITURES
76,A HUSKY STANDS BY AS A SKIER STANDS THERE,AA SO STORM ISPIGED BY DIFFERISE COLOR TO SWING BEI
77,A PERSON ON SOME SKIS AND A DOG IN THE SNOW,OO IFEN IN SAFETY AS AA IN TE SURFR
78,A MAN ON SKIS WITH A DOG NEXT TO HIM,A MAN ON SKIS OALONG NEXT TO A PLIECE OFSON
79,A MAN ON SNOW SKIS WITH HIS DOG,BUD LAN ON  SENIX IS A DAT ONTOF COMPEUPLE
80,A PERSON RIDING SKIS ON TOP OF A SNOW COVERED SLOPE NEAR A DOG,A PERSON LAS IS ON TOP OF A SNOW COVERED SNOW NEAR A DOG
81,A GIRAFFE REACHING UP TO SOME TREE BRANCHES,ATEBUS OF GIRAFFES AMONG AN OTER LANS O ANAR
82,A GIRAFFE STANDING UNDER A LEAF FILLED TREE,ORG ENTE WALT ISPOSI ORGATR AN AN AN ALLE AN SI AN ATA PARK
83,THE GIRAFFE EXTENDS UPWARD WHILE EATING FROM THE BRANCHES OF A TREE,THE GIRAFFE IS STANDOS BY THE WARD WHILE EAT UMBRELLA BRANCHES ON THE TLEAK
84,A GIRAFFE THAT IS STANDING IN THE GRASS,AARER GIRAFFE THAT IS STANDING ON A GRASSI AA
85,A TALL GIRAFFE STRETCHES TO REACH HIGH LEAVES ON A TREE,A DOG RAS STRETCHED AN FLOIN I LOIN FOKED
86,THE PALACE OF WESTMINSTER FEATURING ELIZABETH TOWER THAT HOLDS BIG BEN,ABICOF PALAC A OAAND CRIN ILESIDO MAI A VAN
87,A BRIDGE NEXT TO A TALL BUILDING AND THE BIG BEN TOWER,PAGAREDACE NEXT TO OLD BUILDING IN ANEIN TOWR
88,A CASTLE IS SHOWN ON THE WATER NEXT TO A BRIDGE,A CASE IS SHOWN ON SURBOET TO A BRIDGE
89,AN OLD CLOCK TOWER STANDS NEAR A BRIDGE AND OTHER LARGE OLD MEDIEVAL TYPE STRUCTURES,AN OLD CLOCK COWER STANDS NEAR A GREENS AN OTHER LARGE OR EDEE TYPE STRUCTONS
90,THE BIG BEN CLOCK TOWER TOWERING OVER THE CITY OF LONDON,BIG BIG CLOCK TOWER TOW  CRECK IS SITTY IN MOTORTRAFIC
91,MAN RELAXING NEAR A TRAIL CLOSED SIGN ON THE GROUND,OA RITIFUL SHARK ANVERIA IES AN FO PAE ON THE GREN
92,A MAN SITTING ON A WALL NEXT TO WATER NEXT TO A BARRIER,A MAN SITTING ON A WALL NEXT TO WATER NEXT TO A BEAREBOAT
93,A MAN WITH HIS SHIRT OFF SITTING BY THE SHORELINE SUNNING HIMSELF,A MAN WITH A SHIRT OFF SITTING BY A SPOONAN SUN AND SOWFOD
94,A SIGN LAYING ON A LUSH GREEN FIELD NEAR A BODY OF WATER,THERE A SIGN LEANING OO TO STRIPE PA ON  ATIN MOTAR
95,A MAN WHO IS SITTING DOWN NEXT TO A BODY OF WATER,A MAN WITH A SAND STAD NEXT TO A BODY OF WATERD
96,A PHOTO TAKEN FROM A CAR LOOKING AT A SKATEBOARDER ON THE SIDE OF THE ROAD,PESON ON CORFUL OETION WITH COTS ON A LOVING ROOMOR OF E MEN IN THE RIDT
97,A ROAD FILLED WITH CARS IN A DESERT,A ROW OF VIEW FOL CARS AND ONTEITY ON A PA
98,A MAN WALKING DOWN A STREET NEXT TO A ROAD FILLED WITH CARS,THREE WOMEN WALKING DOWN THE STREET NEXT TO A RAI NUMBREPULER BITES N TRAFFIC LIGHT
99,VIEW FROM INSIDE OF A CAR OF CARS ON ROAD AND A MAN ON THE SIDE OF THE ROAD,MANROOM INSIDE OF THE CAR OT A PERSON POTO IN A HOD BEHINE TEBED
100,MAN RIDING A SKATE BOARD TOWARDS THE TRAFFIC ON A TWO LANE ROADWAY,A MAN RIDING A SKATEBOARD TOWARDS THE TRAFFIC ON ITS BEHIND EPAY ON
101,A GROUP OF PEOPLE GATHERED AROUND A TABLE FILLED WITH FOOD, ROSE SINDY GROUND H PEOPLE GATHERED AROUND A SANI
102,A LONG TABLE WITH MANY CONTAINERS OF FOOD ON IT AND MANY PEOPLE AROUND IT, ON TABLE WITH MANY CONTAINERS OF FOOD ON IT AND MANY PEOPLE AROUND LACKETS
103,PEOPLE ARE LINED UP ALONG A LONG PICNIC TABLE,FIXIBLE LINED UP ALONG ONON WALL PICNING DOWN
104,GATHERING OF PEOPLE DISHING OUT FOOD SET ON A LONG TABLE WITH CHECKERED TABLECLOTH,A OLESAN NO AN MOTORCYCLE ON A WALL NEXTCERER SA
105,A GROUP OF PEOPLE EATING FOOD AT AN OUTDOOR PICINIC,A GRIRAR SURFBOARD ADING TO AT A BOUCH OF FEDE
106,A CAT LAYING ON A TOILET SEAT WITH ITS PAWS INSIDE,WMAN WITH A BATT TOIL DRON I ERA LOG AN MIRRR
107,A BLACK AND GRAY CAT IS SITTING ON A TOILET, BLACK AND GRAY CAT IS SITTING ON A TOILIN ON A WITE
108,A CAT SITTING ON THE EDGE OF THE TOILET LOOKING TOWARD THE OPEN BATHROOM DOOR,A CAT SIT ON A COUC IN AAAN ATA LANGOW ON THE BERA ONTEATING
109,A CAT SITS ON THE EDGE OF A TOILET,A CONPE OF LAFFIC CAT SITS ON EDD OF A BOOK
110,A CAT IS LAYING ON A TOILET SEAT,A UTONCLOK PARA SIT ROLL AS MANY STUPS
111,A CAT SITS ON TOP OF A TOILET BOWL,ATE I BIT DASHES OF A BUNCH O TA GLIDIEN SE
112,A SMALL CAT SITS PERCHED ON THE BACK OF A TOILET,TO POS ARE NEX SEAL SITS PERCHE ON  OTHE A WIN ASTE
113,A CAT SITTING ON THE BACK OF A TOILET BOWL WITH NO TANK,A CAT SITTING ON THE BACK OF A TO OTITH A E SOS
114,A SMALL CAT SITS ON TOP OF A WHITE TOILET MISSING ITS SEAT IN A BATHROOM,SMALL CATHOLDITS UNTOP OF A WHITE TOILET  A SINT INA BATHROOM
115,A CAT SITTING ON A TOILET IN A BATHROOM,A CAT SITTING ON A RIN WEAI OFOD
116,AN ANGLED SHOT OF A FULLY STOCKED KITCHEN WITH WOODEN CABINETS,OR ENTROY SHOTS OF RONAT IN A  WOODEN CA
117,AN OPEN KITCHEN IS SHOWN WITH LIGHT BROWN CABINETS,AANLAV KITCHEN IS SHOWN WT LICEBROWN TOGETHER
118,SOME WOOD CABINETS IN A LARGE HOME KITCHEN,SODE OOD GARBINET ITH A LARGE METAL KITCHEN
119,A KITCHEN WITH A SINK DISHWASHER AND MICROWAVE OVEE,A KITCHEN SINK DISHWASHER BOTTLES AND MICROWAVE OVEN
120,A KITCHEN FILLED WITH WOODEN CABINETS AND A MICROWAVE OVEN,A KITCHEN FLAVOR HATING CABINETS ANEX ONPA
121,A BUNCH OF FRUIT SITS IN FRONT OF A PORTRAIT,A BUNCH OF GRI SITS BEN THE FLORS MOUTN
122,SOME ART WORK WITH A MAN WITH A HAT ON AND SOME FRUIT IN A BOWL,SOME PORKE A MAN ITH A HATLON IN STRUT AND CARS OF FOT
123,A PAINTING OF A MAN SMILING BEHIND A TABLE WITH FRUIT,AGINK AND LAN SIT AND A REDI A TABLETE IT FRUIT
124,A PAINTING OF A BOWL OF FRUIT SITTING IN FRONT OF ANOTHER PAINTING,O AN DECOREATION AIN ONET ON E
125,THIS IS A STILL LIFE OF FRUIT AND AN OLD MAN,A IC SCENS OF A STILF WHITE BATHTOOM A
126,A LITTLE GIRL IS HOLDING ON TO A HAIR BRUSH,E LITTLE BIY IS HOLDERING OFF TOE UDERNA BA E
