Index,Reference,Hypothesis
1,A URINAL IN A PUBLIC RESTROOM NEAR A WOODEN TABLE,A URINAL IN A PUBLIC RESTROOM N FURS WITENA TABE
2,A WHITE URINAL WHITE TILES A RED TABLE WITH A DISH,A WHITE MN AIO BA II
3,A TABLE WITH A PLATE OF FOOD AND A URINAL BASIN,A TABLE WITH A STANE I II IN TABE
4,A LITTLE RED TABLE WITH A PLATE ON IT IN THE BATHROOM,A LIVING ROOM ABLE DISPLAYE ON IN THE ROOM
5,A URINAL NEXT TO A RED TABLE WITH A PLATE SITTING ON THE TABLE,A ROOM ETIT AND IN  ON
6,A WOMAN HOLDING AN UMBRELLA WALKS PAST THE SIDE OF A BUS WITH A LARGE ADVERTISEMENT ON THE SIDE,A WOMAN HOLDING AN UMBRELLA WUK PAST HE BO OFE BUS 
7,A WOMAN WITH AN UMBRELLA IS WALKING PAST A BUS,A WOMAN WOLDING UMBRELLA ROLKIN  ONE ROI
8,A WOMAN WALKING DOWN THE SIDEWALK NEXT TO A BUS,A WOMAN WALKING DOWN THE SRIDE DOWN STREET
9,WOMAN WALKING NEXT TO COMMUTER BUS WITH UMBRELLA ON RAINY DAY,A WOMAN WALKING DON TEET IE BUS WITH UMBRELLA ON A RAIN
10,A WOMAN HOLDING AN UMBRELLA AND WALKING BESIDE A BUS,A WOMAN HOLDING AN UMBRELLA AN WALKIN BEHIDE A PARK
11,BLACK AND WHITE PHOTOGRAPH OF YOUNG SCHOOLBOYS,BLACK AND WHITE PHOTOGRAPH O A OT SCRET FENS
12,A BLACK AND WHITE PHOTO OF CHILDREN SITING POSING FOR A PHOTO,A PLAINI VEIN A SI TI O S I
13,A GROUP OF BOYS IN SUITS HOLDING A CHALKBOARD,A GROUP OF RID IN TIT ALIN A O
14,SCHOOL BOYS SIT CROSS LEGGED IN FRONT OF A CHALKBOARD SIGN IN A VINTAGE BLACK AND WHITE PHOTO,A MAN SITIDIN A IA TOIT SIN IN WALIN A O
15,SCHOOL CLASS PHOTO FROM THE BOYS SCHOOL OF STANDARD SOUTH CAROLINA,TI A O I II O 
16,A MAN ON SKIS FLY THROUGH THE SKY,A MAN ON SKIS FLYING THROUGH THE SNOW
17,THE SKIER TAKES OFF DOWN THE STEEP HILL,A MED KAKE OFF DOWN HE IT
18,A MAN IS SKIING IN MID JUMP ONTO A RAMP,A MAN IN KITBORD I I
19,THE SKIER IS LEANING FORWARD WHILE JUMPING THROUGH THE AIR,HERE IS KAKING BOARD ON A IN
20,A MAN FLYING THROUGH HE AIR WHILE RIDING,A MAN RIDENG TOUH AN AIRBOART RON
21,A BASEBALL PLAYER IN A BATTING STANCE AT HOME PLATE WITH THE CATCHER IN POSITION TO CATCH A PITCH,A BASEBALL PLAYER ON A RAT WITH A BATKET  AT THE COURT
22,A MAN AT BAT WAITING FOR A PITCH WITH A CATCHER AND UMPIRE BEHIND HIM AND PLAYERS FROM THE OPPOSING TEAM IN THE DUGOUT,ANABUL IT BABAA BAA ABAPAS I AS BA
23,A HITTER IS WAITING FOR THE PITCH TO BE THROWN,A HIBAR TATING FOR THE PITCH TO A BALL
24,A BASEBALL PLAYER HOLDS HIS BAT AND WAITS FOR THE PITCH,A BASEBALL PLAYER PAT A BAT O AT A A BAME
25,A BASEBALL PLAYER HOLDING A BAT NEXT TO A BASE,A BASEBALL PLAYER HOLDING A BAT NA BA
26,TWO MEN PLAY THE NINTENDO WII CONSOLE WHILE OTHERS WATCH,PEOPLE PLAYING IN TENDO O PONO WHILE TWE OTHERS WATCH
27,TWO FRIENDS ARE PLAYING EACH OTHER ON THE WII,TWO FRIEND ARE PLAYING WITH EACH OTHER ONE THE WII
28,THE TWO MEN ARE PLAYING VIDEO GAMES WHILE OTHERS WATCH,TWO POPE OPE OON PLAYO GAME FON A MOTOTAL
29,A COUPLE OF PEOPLE STANDING IN A ROOM WITH SOME REMOTES,A COUPLE OF PLE STANDING IN A RO  UMBELLA
30,TWO COLLEGE AGE BOYS PLAYING WII WHILE OTHERS LOOK ON, TWO ORIGEBE TROYERS PLAYING WII WHILE OTHERS LOOK OUT
31,A BIRD IS WALKING RIGHT THROUGH A DINING ROOM,A BASIS WALKING NINT TROUG A BUNS
32,A BIRD WALKING THROUGH A CAFETERIA NEXT TO A TABLE,A TER IS WALKING  ROOM AT TO
33,A GOOSE WALKING INSIDE OF A CAFETERIA AREA,A BASE WALK ENSIDE OF A TAXTEAA
34,A BIRD WALKING ON A TILED FLOOR IN A CAFETERIA,A BIRD WALKING ET T EXT TO
35,A WHITE AND BLACK BIRD IS WALKING BY A TABLE AND SOME CHAIRS,A BUSY EE OKIN SAIN E
36,A CLOSE UP OF A DOLL LAYING IN A BED WITH A BOOK,A BED FILED WITH TALLES ON BEDAN BEDAN
37,AN OLD DOLL LAYING ON A BED WITH A BOOK,AN OLD DOL LAYING ON A BED WITH A BED
38,A VINTAGE BABY DOLL WITH THE BOOK GOODY TWO SHOES ON ITS LAP,A LITTLE BITY COL SITS IT A PIN SET
39,A DOLL WITH A BONNET AND A BOOK ON A PILLOW,A DOG WIT A BOX AND A BOOK ON A PILLOW
40,A BABY DOLL LAYING ON TOP OF A BED UNDER A BOOK,A BIG DOG LAYING ON ON OA BED  ED
41,A CLOCK SHAPED LIKE AN APPLE SITTING ON A COUNTER,A CLOCK SHAPED LIKE A COWET ON A IT
42,A CLOCK THAT LOOKS LIKE AN APPLE A PENGUIN AND A POTTED PLANT,A CLOCK TET LOOK LIGTE AND APPLE APENDING AND TOLIC FLAS
43,A RED APPLE WITH A CLOCK INSIDE OF IT,A RED OWL SET UP ON SICE
44,AN ALARM CLOCK THAT IS SHAPED LIKE AN APPLE,A LARGE CLOCK WITH IS SAKE ON A APOT
45,A PLASTIC APPLE CLOCK ON A TABLE SURFACE,ON A PLASTIC APPLE ON A TABLE SURFACE
46,HORSES WITH JOCKEYS RACING ACROSS THE COAST OF SOME BEACH,A PERSON I JUMPING OI OM SO 
47,A GROUP OF PEOPLE ON HORSES RACING TOGETHER,PEOPLE ON HORSES RACE IN TH FIELD
48,THREE PEOPLE RACE THEIR HORSES DOWN A BEACH,TO PROP EO IN SIN I  BEAC
49,THE HORSES ARE RACING EACH OTHER ALONG THE BEACH,TWO HORSES ARE RACING EACH OTHER ALONG THE BEACH
50,A BLACK AND WHITE PHOTO OF JOCKEYS RIDING THEIR HORSES,A BELSON IPAN A A CROSSIN RUDIN
51,A PASSENGER TRAIN MOVING DOWN THE TRAIN ON A BRIDGE,AVAI MOVING ON THE TRAIN ON  SINEW
52,A LARGE LONG TRAIN ON A STEEL TRACK,A LARGE BOCTY RIN  A A TRI
53,A TRAIN THAT IS ON A RAIL OVER A BRIDGE,A TRAIN IS ON THE RAIL OVER A BRIDGE
54,A TRAIN ON TOP OF AN OVERPASS BRIDGE SET OF TRAIN TRACKS WITH FIELDS ON BOTH SIDE,TRAIN ON TOP OF A OT TRACKS SET OF TRAIN TRACK OO
55,TRAIN MOVING ALONG RAISED TRACKS WITH MOUNTAIN IN BACKGROUND,ATRAIN GOTING ON TRAIN TRACKS ONN TRACK
56,A TEDDY BEAR SITTING IN FRONT OF A PILE OF BOXES,TEDDY BEARS IS SITTING INSONT OF A FIRBA
57,A TEDDY BEAR NEXT TO FOUR BOXES ON THE FLOOR,A  I VEG  O BES
58,A TEDDY BEAR SITTING ON THE GROUND IN FRONT OF MANY BOXES,A TREDDY BEARDS ITTINGIN  I N ON   A TO
59,A TEDDY BEAR IS SITTING IN FRONT A GROUP OF BOXES,A TEDDY BEAR IS SITTING IN FONT OF OT A BASE
60,A BIG TEDDY BEAR SITTING NEXT TO SOME BOXES,A IKO TEDDY BEAR SITTING NEXT TO SOME GLAXES
61,A SEAGULL STANDS ON THE BEACH IN FRONT OF A WAVE,SA SIBOAT SAING ON THE BEA IN FOT OF A BOD
62,A SEAGULL STANDING NEAR THE OCEAN ON THE SAND,A SO BOK ONA   
63,A SEAGULL STANDING ON THE SAND NEAR THE WATER,A SUR SUR N ON A SAIF IN AN TE WATER
64,THE BIG BIRD IS STANDING ON THE BEACH BY THE WATER,A BIG BOAT SITTING INN A BI BA
65,A SEAGULL STANDING ON THE SAND OF A BEACH,A SEA BELL STANDING IN THE SANDY
66,A BUS FULL OF HAPPY TOURISTS DRIVES DOWN THE STREET,A BUSO TUCKIN  O TOP
