Index,Reference,Hypothesis
1,A URINAL IN A PUBLIC RESTROOM NEAR A WOODEN TABLE,ULTITAY BEARFOIN A COUISMAN SITTIN  UTURAS IN SHOWA DOG IGNEN
2,A WHITE URINAL WHITE TILES A RED TABLE WITH A DISH,OFO YPING IIT TIO S AND GROSE ITAB
3,A TABLE WITH A PLATE OF FOOD AND A URINAL BASIN,APARO THA TA IN A OP AN  IT ON THE TOR
4,A LITTLE RED TABLE WITH A PLATE ON IT IN THE BATHROOM,LITT REN TABLE ON O  CLOCK LAYING IN POCH
5,A URINAL NEXT TO A RED TABLE WITH A PLATE SITTING ON THE TABLE,AOSI SOT A O A WINDOW ITH AN OPETEN BEDRONONSESSION OF I SIAR
6,A WOMAN HOLDING AN UMBRELLA WALKS PAST THE SIDE OF A BUS WITH A LARGE ADVERTISEMENT ON THE SIDE,E IS MAC ST BESIDE OF E FASE WITH AEDGE ANON IS OWERSET
7,A WOMAN WITH AN UMBRELLA IS WALKING PAST A BUS,AXNOW ELMANT ALIDS O OWTI LOKS ONWARKING PAN STAIRA
8,A WOMAN WALKING DOWN THE SIDEWALK NEXT TO A BUS,A MAN AKDESON ON I STYCE AOOTEET
9,WOMAN WALKING NEXT TO COMMUTER BUS WITH UMBRELLA ON RAINY DAY,AR POPEANON ASHO NEAR LATOF OVIN ONE ON A PE FIELD
10,A WOMAN HOLDING AN UMBRELLA AND WALKING BESIDE A BUS,TISTERS ARE WOLK NERY TO A CROWD LIGIN COTYARD SIGN AND BU
11,BLACK AND WHITE PHOTOGRAPH OF YOUNG SCHOOLBOYS,A WMAN ANOE O PARKSINN SOON RAM
12,A BLACK AND WHITE PHOTO OF CHILDREN SITING POSING FOR A PHOTO,A PACKIC NEXTUITH A TO OUSE AR ON A CIE BA ON S
13,A GROUP OF BOYS IN SUITS HOLDING A CHALKBOARD,A OTTIDOPA STANDING I IS GESS O ON O
14,SCHOOL BOYS SIT CROSS LEGGED IN FRONT OF A CHALKBOARD SIGN IN A VINTAGE BLACK AND WHITE PHOTO,A KECEI IN FONT OF A AE INPLOCTICAL AIN I
15,SCHOOL CLASS PHOTO FROM THE BOYS SCHOOL OF STANDARD SOUTH CAROLINA,SI PICTURE OF ADOG PIIN STPOST OFFICE CAR INE E
16,A MAN ON SKIS FLY THROUGH THE SKY,A KISON ANIN ONROAD  A MASCY HOLLYOVSPLAG BY THE TAN
17,THE SKIER TAKES OFF DOWN THE STEEP HILL,FIER TUNS ON THECROSS  STAT PARKE IN THE PARKFELD
18,A MAN IS SKIING IN MID JUMP ONTO A RAMP, EXNA UMBRELLAS ON THE SLOW TOR A
19,THE SKIER IS LEANING FORWARD WHILE JUMPING THROUGH THE AIR,A SEITPA  TO BUTS OF A JU A
20,A MAN FLYING THROUGH HE AIR WHILE RIDING,TWO MEN FLYING A AIRPO IN A IBAI
21,A BASEBALL PLAYER IN A BATTING STANCE AT HOME PLATE WITH THE CATCHER IN POSITION TO CATCH A PITCH,A BASEBALL MIAANFORMMOSER O AN OSITICTE ISPOSIONE TA
22,A MAN AT BAT WAITING FOR A PITCH WITH A CATCHER AND UMPIRE BEHIND HIM AND PLAYERS FROM THE OPPOSING TEAM IN THE DUGOUT,APATE A ATI PROFESSOR DRINKING OWTASS DA
23,A HITTER IS WAITING FOR THE PITCH TO BE THROWN,A TENIN TI ON  ARCSTO ON ABALL
