Index,Reference,Hypothesis
1,A URINAL IN A PUBLIC RESTROOM NEAR A WOODEN TABLE,A URINAL IN A PUBLIC RESTROOM NEAR A WOODEN PASE
2,A WHITE URINAL WHITE TILES A RED TABLE WITH A DISH,A WHITE URINAL WHITE SIGN BESIDE PEOPLE WITIR
3,A TABLE WITH A PLATE OF FOOD AND A URINAL BASIN,A TABLE WITH A CAVAND SINT IN HE MIDENLIS STATION
4,A LITTLE RED TABLE WITH A PLATE ON IT IN THE BATHROOM,A LITTLE R TABLE WITH A PLANE ON IT IN THE BACKGROUND
5,A URINAL NEXT TO A RED TABLE WITH A PLATE SITTING ON THE TABLE,A LEMA NEXT TO A RED IE DISPLAY SITTY ON
6,A WOMAN HOLDING AN UMBRELLA WALKS PAST THE SIDE OF A BUS WITH A LARGE ADVERTISEMENT ON THE SIDE,A WOMAN HOLDING AN UMBRELLA WALKD PAST THE SIDE OF A BUS WITH A LARGE ADCRESSISII
7,A WOMAN WITH AN UMBRELLA IS WALKING PAST A BUS,A WOMAN WITH AN UMBRELLA IS WALKING PAT BU
8,A WOMAN WALKING DOWN THE SIDEWALK NEXT TO A BUS,A WOMAN WALKING DOWN THE SIDEWALK NEXT TO ITN
9,WOMAN WALKING NEXT TO COMMUTER BUS WITH UMBRELLA ON RAINY DAY,A WOMAN WALKING NEXT TO A COMMUTER BUS WITH UMBRELLA ON A RAIN
10,A WOMAN HOLDING AN UMBRELLA AND WALKING BESIDE A BUS,A WOMAN HOLDING AN UMBRELLA AND WALKING BEHIND A BOVE
11,BLACK AND WHITE PHOTOGRAPH OF YOUNG SCHOOLBOYS,BLACK AND WHITE PHOTOGRAPH OF YOUNG SKOOTER BOARDS
12,A BLACK AND WHITE PHOTO OF CHILDREN SITING POSING FOR A PHOTO,A BLACK AND WHITE PHOTO OF TADEN SITTIN SATIN SA ODER
13,A GROUP OF BOYS IN SUITS HOLDING A CHALKBOARD,A GROUP OF WHITE AND SHIRTS COVERD ACOSWALK
14,SCHOOL BOYS SIT CROSS LEGGED IN FRONT OF A CHALKBOARD SIGN IN A VINTAGE BLACK AND WHITE PHOTO,TABLES WITFIG SWATIN IN FRONT OF A CROSSWAY SAN IN FRINT OF JACKN WIT PETER
15,SCHOOL CLASS PHOTO FROM THE BOYS SCHOOL OF STANDARD SOUTH CAROLINA,TE BACKGROUNDS IN I I E SAKTON
16,A MAN ON SKIS FLY THROUGH THE SKY,A MAN ON SKIS FLIE THROUGH THE STOW
17,THE SKIER TAKES OFF DOWN THE STEEP HILL,TA STEEER TAKES OUTGANIS I STET
18,A MAN IS SKIING IN MID JUMP ONTO A RAMP,THE LAMB IS THEN THE MIDDRESS ANTE 
19,THE SKIER IS LEANING FORWARD WHILE JUMPING THROUGH THE AIR,THE SPEETER IS LEAVING O WHILE JOME COMPUTER
20,A MAN FLYING THROUGH HE AIR WHILE RIDING,A MAN FLYING THROUGH THE AIR WHILE RIDING
21,A BASEBALL PLAYER IN A BATTING STANCE AT HOME PLATE WITH THE CATCHER IN POSITION TO CATCH A PITCH,A BASEBALL PLAYER IN A GRAWDED STIN SET ON PLATE WITH A FACKER ISPEDITIONED TO PAVE A PITE
22,A MAN AT BAT WAITING FOR A PITCH WITH A CATCHER AND UMPIRE BEHIND HIM AND PLAYERS FROM THE OPPOSING TEAM IN THE DUGOUT,A MAN ON BRASK BENDING PASWAY WITH A JACTORAND UMPIRE BEHIND HIM AN PARS TOBEOF CAVA T H BARON
23,A HITTER IS WAITING FOR THE PITCH TO BE THROWN,MANKER THAT IS WAITING FOR THE PITCH TO BE DLESS
24,A BASEBALL PLAYER HOLDS HIS BAT AND WAITS FOR THE PITCH,A BASEBALL PLAYER HOLDS A BAT AND WHITE FOR THECAC
25,A BASEBALL PLAYER HOLDING A BAT NEXT TO A BASE,A RETAIL PLAYER HOLDING A GRAP NEXT TO A BEASH
