Index,Reference,Hypothesis
1,A URINAL IN A PUBLIC RESTROOM NEAR A WOODEN TABLE,A URINAL IN A PUBLIC RESTROOM NEAR A WOODEN TABE
2,A WHITE URINAL WHITE TILES A RED TABLE WITH A DISH,A WHITE MURINAL WHITE TIT ESIDE TABOR WIT IR
3,A TABLE WITH A PLATE OF FOOD AND A URINAL BASIN,A TABLE WITH A SAVE AN SINK AND A NIWENDOS TACE
4,A LITTLE RED TABLE WITH A PLATE ON IT IN THE BATHROOM,A LITTLE RE TABLE WITH A PLANE ON IT IN THE BATHROOM
5,A URINAL NEXT TO A RED TABLE WITH A PLATE SITTING ON THE TABLE,A ROOMREL NEXT TO A BEDIM DISPLAY SITTING ON THE FLOOR
6,A WOMAN HOLDING AN UMBRELLA WALKS PAST THE SIDE OF A BUS WITH A LARGE ADVERTISEMENT ON THE SIDE,A WOMAN HOLDING AN UMBRELLA WALKS PAST THE SIDE OF A BUS WITH A LARGE ADVERTISISI
7,A WOMAN WITH AN UMBRELLA IS WALKING PAST A BUS,A WOMAN WITH AN UMBRELLA IS WALKING PAST A BUS
8,A WOMAN WALKING DOWN THE SIDEWALK NEXT TO A BUS,A WOMAN WALKING DOWN THE SIDEWALK NEXT BULDIN
9,WOMAN WALKING NEXT TO COMMUTER BUS WITH UMBRELLA ON RAINY DAY,A WOMAN WALKING NEXT TO A COMMUTER BUS WITH AN UMBRELLA ON A RAINDA
10,A WOMAN HOLDING AN UMBRELLA AND WALKING BESIDE A BUS,A WOMAN HOLDING AN UMBRELLA AND WALKING BEHIND A BUS
11,BLACK AND WHITE PHOTOGRAPH OF YOUNG SCHOOLBOYS,BLACK AND WHITE PHOTOGRAPH OF YOUNG SCOOTER BOARDS
12,A BLACK AND WHITE PHOTO OF CHILDREN SITING POSING FOR A PHOTO,A BLACK AND WHITE PHOTO OF CILDREN SITTNG TAITING SORTEBOARDER
13,A GROUP OF BOYS IN SUITS HOLDING A CHALKBOARD,A GROUP OF BOYS IN SUITS HOLDING A COSSWALK
14,SCHOOL BOYS SIT CROSS LEGGED IN FRONT OF A CHALKBOARD SIGN IN A VINTAGE BLACK AND WHITE PHOTO,TWO DOYS WITH HOUSEWALDINGIN FRONT OF A COSSWAD STANDING IN FRINT OF TRACTON O POTE
15,SCHOOL CLASS PHOTO FROM THE BOYS SCHOOL OF STANDARD SOUTH CAROLINA,TWO KUFF WADINGS ON A TET TT TE IN CELLPHONE
16,A MAN ON SKIS FLY THROUGH THE SKY,A MAN ON SKIS FLY THROUGH THE SKY
17,THE SKIER TAKES OFF DOWN THE STEEP HILL,A SKIER FLAKES OUT DOWN A STEEP SLOPE
18,A MAN IS SKIING IN MID JUMP ONTO A RAMP,THE MAN IS THIUING HE MIDGRASS INTHROUGH A AIR
19,THE SKIER IS LEANING FORWARD WHILE JUMPING THROUGH THE AIR,A SKTER IS LEAVING BOARD WHILE JUMPING HE
20,A MAN FLYING THROUGH HE AIR WHILE RIDING,A MAN FLYING THROUGH THE AIR WHILE RIDING
21,A BASEBALL PLAYER IN A BATTING STANCE AT HOME PLATE WITH THE CATCHER IN POSITION TO CATCH A PITCH,A BASEBALL PLAYER IN A GRATTED STEM ET ONE PLATE WITH A BATKER IN PREMITIOND TO PAV A PITCH
22,A MAN AT BAT WAITING FOR A PITCH WITH A CATCHER AND UMPIRE BEHIND HIM AND PLAYERS FROM THE OPPOSING TEAM IN THE DUGOUT,A MAN ON BACK RAINING FOR BASE WITH A CACKER AND UMPIRE BEHIND HIM AN PLAYERS ONTE A PLASER WIV B BARGAL
23,A HITTER IS WAITING FOR THE PITCH TO BE THROWN,BA HITTER IS WAITING FOR THE PITCH TO BE BROWN
24,A BASEBALL PLAYER HOLDS HIS BAT AND WAITS FOR THE PITCH,A BASEBALL PLAYER HOLDS HIS BAT AND WAITS FOR THE CITCH
25,A BASEBALL PLAYER HOLDING A BAT NEXT TO A BASE,A BASEBALL PLAYER HOLDING A BAT NEXT TO A BASE
26,TWO MEN PLAY THE NINTENDO WII CONSOLE WHILE OTHERS WATCH,TWO MEN PLAY SO NINTENDO WII CONSOL WHILE TWO OTHERS WATCH
27,TWO FRIENDS ARE PLAYING EACH OTHER ON THE WII,TWO FRIENDS ARE PLAYING WITH EACH OTHER ON THE WII
28,THE TWO MEN ARE PLAYING VIDEO GAMES WHILE OTHERS WATCH,TWO FITEMEN ARE PLAYING VIDEO GAMES WHILE OTHERS WATCH
29,A COUPLE OF PEOPLE STANDING IN A ROOM WITH SOME REMOTES,A COUPLE OF PEOPLE STANDING IN A ROOM WITH SOME REMOTES
30,TWO COLLEGE AGE BOYS PLAYING WII WHILE OTHERS LOOK ON,ETETIE CITORS PLAYING WII WHILE OTHERS ARE DEN
31,A BIRD IS WALKING RIGHT THROUGH A DINING ROOM,A BIRD IS WALKING RIGHT THROUGH A DINING ROOM
32,A BIRD WALKING THROUGH A CAFETERIA NEXT TO A TABLE,A BIRD WALKING THROUGH A TRAFFIC LEXT TOKEN
33,A GOOSE WALKING INSIDE OF A CAFETERIA AREA,A BUSH WALKING INSIDE OF A CAFETERIA ARE
34,A BIRD WALKING ON A TILED FLOOR IN A CAFETERIA,A BIRD WALKING ON SIDE FLOOR IN A CAPOBIR
35,A WHITE AND BLACK BIRD IS WALKING BY A TABLE AND SOME CHAIRS,A WHITE AND WHITE BIRD IS BROLKING BY A TAVEN
36,A CLOSE UP OF A DOLL LAYING IN A BED WITH A BOOK,CAT BLOS OF A DOG LAYING IN A BIG IBOOK
37,AN OLD DOLL LAYING ON A BED WITH A BOOK,AN OLD DOY LAYING ON A BED WITH A BOD
38,A VINTAGE BABY DOLL WITH THE BOOK GOODY TWO SHOES ON ITS LAP,A LABY BABY BOLL IS BOK PITTY INPUTE LON
39,A DOLL WITH A BONNET AND A BOOK ON A PILLOW,A DOG WITH A BONNET AND A BOOK ON A PILLOW
40,A BABY DOLL LAYING ON TOP OF A BED UNDER A BOOK,A BASY DOLL LAYING ON TOP OF A BED UNDER A BOVE
41,A CLOCK SHAPED LIKE AN APPLE SITTING ON A COUNTER,A CLOCK SITS A A APPLES SITTING ON IT
42,A CLOCK THAT LOOKS LIKE AN APPLE A PENGUIN AND A POTTED PLANT,A CLOCK THAT LOOKS LIKE AN APPLE AFFENDING ON A POWER PLANT
43,A RED APPLE WITH A CLOCK INSIDE OF IT,A RED APPLE ITIS BLACK AND WHITE
44,AN ALARM CLOCK THAT IS SHAPED LIKE AN APPLE,AN ALONG TOCK TIT IS SACE LIKEAN EMTY
45,A PLASTIC APPLE CLOCK ON A TABLE SURFACE,A PLASTIC APPINET NEXT TO THE TURPES
46,HORSES WITH JOCKEYS RACING ACROSS THE COAST OF SOME BEACH,FOUR GEOUP OF JOCKIYS RACING ACROSS E SOAP SI
47,A GROUP OF PEOPLE ON HORSES RACING TOGETHER,A GROUP OF PEOPLE ON HORSES RAICING A FIED
48,THREE PEOPLE RACE THEIR HORSES DOWN A BEACH,THREE PEOPLE WAY SUIRBOARDS ON A BEACH
49,THE HORSES ARE RACING EACH OTHER ALONG THE BEACH,THE HORSES ARE RACING EACH OTHER ALONG THE BEACH
50,A BLACK AND WHITE PHOTO OF JOCKEYS RIDING THEIR HORSES,A BLACK AND WHITE PHOTO OF BLACKANS RIDING THE BAV
51,A PASSENGER TRAIN MOVING DOWN THE TRAIN ON A BRIDGE,A TRACK WITER TRAIN MOVING DOWN THE STREAM ON BRIDGE
52,A LARGE LONG TRAIN ON A STEEL TRACK,A LARGE LONG TRAN IN A FIEL TRACK
53,A TRAIN THAT IS ON A RAIL OVER A BRIDGE,A TRAIN THAT IS ON A RAILOROAD BRIDGE
54,A TRAIN ON TOP OF AN OVERPASS BRIDGE SET OF TRAIN TRACKS WITH FIELDS ON BOTH SIDE,A TRAIN ON TOP OF AN OVERPASTE SET OF TRAIN TRACK I FIELD ON BOTHSID
55,TRAIN MOVING ALONG RAISED TRACKS WITH MOUNTAIN IN BACKGROUND,TRAIN MOVING ALONG WAVE TRACKS WITH MOUNTAIN IN THE BACKGROUND
56,A TEDDY BEAR SITTING IN FRONT OF A PILE OF BOXES,TA TEDDY BEAR IS SITTING IN FRONT OF A FIRE OF SOC
57,A TEDDY BEAR NEXT TO FOUR BOXES ON THE FLOOR,A TEDDY BEAREG TO POR BOXES ON HA BAT
58,A TEDDY BEAR SITTING ON THE GROUND IN FRONT OF MANY BOXES,A TEDDY BEAR SITTING IN A GEON  FONK IN A SOK
59,A TEDDY BEAR IS SITTING IN FRONT A GROUP OF BOXES,A TEDDY BEAR IS SITTING IN FRONT OF A GROUP OF FASES
60,A BIG TEDDY BEAR SITTING NEXT TO SOME BOXES,A BIG TEDDY BEAR SITTING NEXT TO SOME BOXES
61,A SEAGULL STANDS ON THE BEACH IN FRONT OF A WAVE,A SEAGULL STANDS ON THE BEACH IN FRONT OF A ROVE
62,A SEAGULL STANDING NEAR THE OCEAN ON THE SAND,A SEA DUCK THAN IS NEAR THE WOTER ON A SANK
63,A SEAGULL STANDING ON THE SAND NEAR THE WATER,A SEAWUCK SIIN ON THE SAND NEAR THE WATER
64,THE BIG BIRD IS STANDING ON THE BEACH BY THE WATER,THE BIG BIRD S SANDING IN THE BEACH BY
65,A SEAGULL STANDING ON THE SAND OF A BEACH,A SEA BUAL STANDING ON THE SANCH OVEN BEAC
66,A BUS FULL OF HAPPY TOURISTS DRIVES DOWN THE STREET,A BUS FULL OF RAFFIC IMEN AROED DOWN I THE STREET
67,DOUBLE DECKER BUS WITH PEOPLE ON THE TOP FLOOR ON ROAD,DOUBLE DECKER BUS WITH PEOPLE ON THE PLATFORM ON ROAD
68,A DOUBLE DECKER BUS WITH PEOPLE WAVING FROM THE TOP,A DOUBLE DECKER BUS WITH TAPE RINERS FROM THE TOP
69,A DOUBLE DECKER BUS DRIVING DOWN A STREET,A DOUBLE DECKER BUS DRIVING DOWN THE STREET
70,RED DOUBLE DECKER BUS WITH PEOPLE STANDING ON TOP,RED DOUBLE DECKER BUS WITH PEOPLE STANDING ON TOP
71,A MAN LEANING HIS MOUTH DOWN TO A PLATE THAT HAS A SANDWICH ON IT AND A BLUE WATER BOTTLE BEHIND IT,A MAN LEADING HIS MOUTH DOWN FOOTPLATE TAND IN FRONT OF A BUE WATER MON
72,A MAN TAKING A BITE OF A SANDWICH WITHOUT USING HIS HANDS,A MAN TAKING A BOT OF A TANC WITHOUT EASING HIS HAND
73,A MAN EATING A SANDWICH OFF OF A WHITE PLATE,MAN EATING A SANDWICH OFF OF A WHITE PLATE
