Index,Reference,Hypothesis
1,A URINAL IN A PUBLIC RESTROOM NEAR A WOODEN TABLE, AIRPLANE WITH OXES  ASTER IN AIRWHILE GETTING ATOYN OPEN
2,A WHITE URINAL WHITE TILES A RED TABLE WITH A DISH,A OTTA TOWIS ATIN
3,A TABLE WITH A PLATE OF FOOD AND A URINAL BASIN,A PARKTEEA I TENIS AND GRA
4,A LITTLE RED TABLE WITH A PLATE ON IT IN THE BATHROOM,A PA O TABLE SININ HE GO
5,A URINAL NEXT TO A RED TABLE WITH A PLATE SITTING ON THE TABLE, HUEDS RON IESIDE OF APEC
6,A WOMAN HOLDING AN UMBRELLA WALKS PAST THE SIDE OF A BUS WITH A LARGE ADVERTISEMENT ON THE SIDE,A PSTREETANDAN LAGE TOP AN A ON POTCE ONCS
7,A WOMAN WITH AN UMBRELLA IS WALKING PAST A BUS,STRIPE OON A HIKE WASS MAT WOT A CHIE PO
8,A WOMAN WALKING DOWN THE SIDEWALK NEXT TO A BUS,AE ON EP OFPOSONES OF TRIZER
9,WOMAN WALKING NEXT TO COMMUTER BUS WITH UMBRELLA ON RAINY DAY, AN AXCESTEN AR NOXRAIL JET
10,A WOMAN HOLDING AN UMBRELLA AND WALKING BESIDE A BUS,IKERR LIING AT PRT SIGN ON THE ROAD
11,BLACK AND WHITE PHOTOGRAPH OF YOUNG SCHOOLBOYS,O DSTRAT BAKS ONN A SHIRTBRD
12,A BLACK AND WHITE PHOTO OF CHILDREN SITING POSING FOR A PHOTO,T SOME SING WITH A BLICNALLY STY DSERT SPO
13,A GROUP OF BOYS IN SUITS HOLDING A CHALKBOARD,NAR IFFERENT OFOVIE OF  CHISIN A A
14,SCHOOL BOYS SIT CROSS LEGGED IN FRONT OF A CHALKBOARD SIGN IN A VINTAGE BLACK AND WHITE PHOTO, COLORFUL BUCH OFANTAE IN ON TE BACKGROUND
15,SCHOOL CLASS PHOTO FROM THE BOYS SCHOOL OF STANDARD SOUTH CAROLINA,TIS BAIN FRONT OF SOMI MOTORCYCLE FOO
16,A MAN ON SKIS FLY THROUGH THE SKY, BATPIS TICKEN LESECTION  SPIDE OM THE VAGE BAKBIDIN
17,THE SKIER TAKES OFF DOWN THE STEEP HILL,A STATN OCE COSS BIN OF STEL N OS
18,A MAN IS SKIING IN MID JUMP ONTO A RAMP,THE FASO SHOPING I POSETIO AN PASSP
19,THE SKIER IS LEANING FORWARD WHILE JUMPING THROUGH THE AIR,A STANDS INA IN TE O OF EACH OTHER A CONNECTION OF SEVERAI
20,A MAN FLYING THROUGH HE AIR WHILE RIDING,A MAN FLYING AFPAIR OF ROWN IKE BO BOTES
21,A BASEBALL PLAYER IN A BATTING STANCE AT HOME PLATE WITH THE CATCHER IN POSITION TO CATCH A PITCH,A BASEBALL PLAYER ONIN ANIS T AT VTWO TRE TCHS 
22,A MAN AT BAT WAITING FOR A PITCH WITH A CATCHER AND UMPIRE BEHIND HIM AND PLAYERS FROM THE OPPOSING TEAM IN THE DUGOUT,AFIST BUSO OF ATEAL ESTEA  O  T BUS
23,A HITTER IS WAITING FOR THE PITCH TO BE THROWN,AVOTO LAYNG DOWN FOSTONEN OTWI MIRROR
24,A BASEBALL PLAYER HOLDS HIS BAT AND WAITS FOR THE PITCH,ABIG FIRE DELICAS ONTACIT GASKITI SHIP
25,A BASEBALL PLAYER HOLDING A BAT NEXT TO A BASE,A AR MA I O  CANS ON A O 
26,TWO MEN PLAY THE NINTENDO WII CONSOLE WHILE OTHERS WATCH,ROSOS ONA DISPLAY OR TACTER ANI SOT TOMO  OTER PASSAG
27,TWO FRIENDS ARE PLAYING EACH OTHER ON THE WII,INA FRAME  EPEA CAN CHUCKER PARKED IN TE OTHER SIDEL
28,THE TWO MEN ARE PLAYING VIDEO GAMES WHILE OTHERS WATCH,OMA PASSENGER WITH ALLYSTYLE OTERSPOTE A ON A CORPASIN E ROLL
29,A COUPLE OF PEOPLE STANDING IN A ROOM WITH SOME REMOTES,A COMUP  RUSTY AREA PANTE F SOMEWHERE  TAS
30,TWO COLLEGE AGE BOYS PLAYING WII WHILE OTHERS LOOK ON,FOUR TIFFEENAES O O AR TAE FIELDIT OTTO ACH  NEX
31,A BIRD IS WALKING RIGHT THROUGH A DINING ROOM,A  IS LARGE WHITE IRIT DIFFRENT INOVRATE
32,A BIRD WALKING THROUGH A CAFETERIA NEXT TO A TABLE,EFIREIS ORIN   EENONLIGHT
33,A GOOSE WALKING INSIDE OF A CAFETERIA AREA,TET SKAIS PO OSI AS O ENASES OF IT
34,A BIRD WALKING ON A TILED FLOOR IN A CAFETERIA,A OLC OVER PRACICED OUOS OF VEIN OF CITYW
35,A WHITE AND BLACK BIRD IS WALKING BY A TABLE AND SOME CHAIRS,FOR CHECKRATA LAMPAR  ON A YI STA FEL PASSENG 
36,A CLOSE UP OF A DOLL LAYING IN A BED WITH A BOOK,SEVERAL TO MALL GRENS AT AMOTE PLANE  ATRS
37,AN OLD DOLL LAYING ON A BED WITH A BOOK,A E IN TEA IN AN TO
38,A VINTAGE BABY DOLL WITH THE BOOK GOODY TWO SHOES ON ITS LAP,STRET   A LATOF STRICTURE ATES
39,A DOLL WITH A BONNET AND A BOOK ON A PILLOW,AIRPLANES NOSIS ON   STR
40,A BABY DOLL LAYING ON TOP OF A BED UNDER A BOOK,A TOP AN TAIN  TRAPL EX T
41,A CLOCK SHAPED LIKE AN APPLE SITTING ON A COUNTER,ACLOCK SHENIN  AFFAN SO
42,A CLOCK THAT LOOKS LIKE AN APPLE A PENGUIN AND A POTTED PLANT,O THAT LOOKS LIKE AN ANTRE  OA WIT AN E FIREPLACEIN  PARKED
43,A RED APPLE WITH A CLOCK INSIDE OF IT,AEXPAD AN GREEN ALL BLASS ON TOP OF E TOLOT
