Index,Reference,Hypothesis
1,A URINAL IN A PUBLIC RESTROOM NEAR A WOODEN TABLE,A URINAL AT A PUBLIC WECTON NEAR A WOODEN STABE
2,A WHITE URINAL WHITE TILES A RED TABLE WITH A DISH,A WHITE ANND YOLL BLY POW A BATAR DAING TA BASBA
3,A TABLE WITH A PLATE OF FOOD AND A URINAL BASIN,A TABLE WITH A PRAT AND SINK TA RIDIN TE CASS
4,A LITTLE RED TABLE WITH A PLATE ON IT IN THE BATHROOM,A LITTLE GITENT TABLE ITH A SITI ON ON ATHBOARD
5,A URINAL NEXT TO A RED TABLE WITH A PLATE SITTING ON THE TABLE,A RAIN ELPMENT TO A BICYCCLE WITH DIPAYS SITTING ON HA SKATEBOARD
6,A WOMAN HOLDING AN UMBRELLA WALKS PAST THE SIDE OF A BUS WITH A LARGE ADVERTISEMENT ON THE SIDE,A WOMAN HOLDING AN UMBRELLA WALK PAST THE SIDE OF A BENCH WITH A LARGE BLACTE ELOSINSID
7,A WOMAN WITH AN UMBRELLA IS WALKING PAST A BUS,A WOMAN WITH AN UMBRELLA IS WALKING ON A CRAK
8,A WOMAN WALKING DOWN THE SIDEWALK NEXT TO A BUS,TWO WOMEN WALKING DOWN THE SIDEWALK WITH A TRAIR
9,WOMAN WALKING NEXT TO COMMUTER BUS WITH UMBRELLA ON RAINY DAY,A WOMAN WALKING NEXT TO A COMMUTER BAKETS ON ROLL ON A RAIN BED
10,A WOMAN HOLDING AN UMBRELLA AND WALKING BESIDE A BUS,A WOMAN HOLDING AN UMBRELLA AS SHE WALKING ISIDE A BUS
11,BLACK AND WHITE PHOTOGRAPH OF YOUNG SCHOOLBOYS,BLACK AND WHITE PHOTOGRAPH OF YO IN A ZO
12,A BLACK AND WHITE PHOTO OF CHILDREN SITING POSING FOR A PHOTO,A BRART AN AT PHOTO OF PODENS ON A COSN ON A TABLE
13,A GROUP OF BOYS IN SUITS HOLDING A CHALKBOARD,A GROUP OF RITES AND FOOTS ART IN H GRASSWIN
14,SCHOOL BOYS SIT CROSS LEGGED IN FRONT OF A CHALKBOARD SIGN IN A VINTAGE BLACK AND WHITE PHOTO,SCOOBLES WITH DOSWAITING INHIND A TRUCTOR STANDING AN EMPTY PECTONER TEE
15,SCHOOL CLASS PHOTO FROM THE BOYS SCHOOL OF STANDARD SOUTH CAROLINA,STOR POLORE CATS ARE  OD AT TABLE I ANOTEN BAT CAS
16,A MAN ON SKIS FLY THROUGH THE SKY,A MAN ON A SKIS WITH SLIDE WRINKLE JAT
17,THE SKIER TAKES OFF DOWN THE STEEP HILL,AIRPLATE ART DROWN TE SINK TA
18,A MAN IS SKIING IN MID JUMP ONTO A RAMP,TE MAN IS SKIING  MISWASH ON TI A MOUNTAINSLOPE
19,THE SKIER IS LEANING FORWARD WHILE JUMPING THROUGH THE AIR,A GIRD IS NEATLY PULLING ELAW JUMPINGTO BI
20,A MAN FLYING THROUGH HE AIR WHILE RIDING,A MAN SLYING IN AN AIRWILL RIDIN 
21,A BASEBALL PLAYER IN A BATTING STANCE AT HOME PLATE WITH THE CATCHER IN POSITION TO CATCH A PITCH,A BASEBALL PLAYER ON A BOWDE STREET SAT WHIT POSE WITH A PASSER PESITES TO CATCH A TON
22,A MAN AT BAT WAITING FOR A PITCH WITH A CATCHER AND UMPIRE BEHIND HIM AND PLAYERS FROM THE OPPOSING TEAM IN THE DUGOUT,A YOL ON BACK LITTE SURFBAR WITH A JUSEAN UM POR A OAAND TOL OF PEOPLE IS POSING BETWEEN  SOWATE 
23,A HITTER IS WAITING FOR THE PITCH TO BE THROWN,A KABLE IS GOLDEN FULL OF CUCHIEE PLITE
