Index,Reference,Hypothesis
1,A URINAL IN A PUBLIC RESTROOM NEAR A WOODEN TABLE,A URINAL WITH A PUBLIC BETHROOM INEAR A WOODEN TABLE
2,A WHITE URINAL WHITE TILES A RED TABLE WITH A DISH,A WHITE URINAL WHITE BAN WITH AA WHITE TABLE IN AI BABE
3,A TABLE WITH A PLATE OF FOOD AND A URINAL BASIN,A TABLE WITH A PAINTE SINK AND A MINI WIT CIT
4,A LITTLE RED TABLE WITH A PLATE ON IT IN THE BATHROOM,A LITTLE ROOM TABLE HANSIN  DINYN CORNER IN TAE BATHROOM
5,A URINAL NEXT TO A RED TABLE WITH A PLATE SITTING ON THE TABLE,A ROOM REMOT TO A BEDOOM WITH A CIS AND A SIN
6,A WOMAN HOLDING AN UMBRELLA WALKS PAST THE SIDE OF A BUS WITH A LARGE ADVERTISEMENT ON THE SIDE,A WOMAN HOLDING AN UMBRELLA WALKS PAST OP THE SIDE OF A BUS WITH A LARGE ADDRESS ENTANCE O E OTER
7,A WOMAN WITH AN UMBRELLA IS WALKING PAST A BUS,A PERSON WITH AN UMBRELLA WHIL WALKING PAS A BUS
8,A WOMAN WALKING DOWN THE SIDEWALK NEXT TO A BUS,A WOMAN POSSES DIVE A WIRDEWALK AT A COURT
9,WOMAN WALKING NEXT TO COMMUTER BUS WITH UMBRELLA ON RAINY DAY,A WOMAN WALKING NEXT TO A COMMUTOR BICYCLE UMBRELLA ON A RAIMOT
10,A WOMAN HOLDING AN UMBRELLA AND WALKING BESIDE A BUS,A WOMAN HOLDING AN UMBRELLA I POLKING I LIGHDER BOTE
11,BLACK AND WHITE PHOTOGRAPH OF YOUNG SCHOOLBOYS,BLACK AND WHITE PHOTOGOP OQESTION T VEIPOR
12,A BLACK AND WHITE PHOTO OF CHILDREN SITING POSING FOR A PHOTO,A BLIGHE AND WAY PHOUL OF CHILDREN SITTING POLDING A FOR A PHONE
13,A GROUP OF BOYS IN SUITS HOLDING A CHALKBOARD,A GROUP OF BOYS IN PULED OVER A COSTOOPERSE
14,SCHOOL BOYS SIT CROSS LEGGED IN FRONT OF A CHALKBOARD SIGN IN A VINTAGE BLACK AND WHITE PHOTO,PODUT WITH POSOTEN IN FRONT OF A CATLE STANDING ON A BENCHES DRESSEDIN ON POLOR
15,SCHOOL CLASS PHOTO FROM THE BOYS SCHOOL OF STANDARD SOUTH CAROLINA,TWO FREST WOMEN IN A AN CHAIR PANING A RESTAURANT
16,A MAN ON SKIS FLY THROUGH THE SKY,A MAN ON THE SKI WITH FLY THROUGH THE SKY
17,THE SKIER TAKES OFF DOWN THE STEEP HILL,A SKIER PATS OUT DOWN TE IN SOW O
18,A MAN IS SKIING IN MID JUMP ONTO A RAMP,A MAN IS ECUDING THE MID TASK ON A TE  WAN
19,THE SKIER IS LEANING FORWARD WHILE JUMPING THROUGH THE AIR,A SKIER IS LEAVING OVER THEWARD OF AN KE
20,A MAN FLYING THROUGH HE AIR WHILE RIDING,A MAN IS RIDING WOOT THE AIRWHILE RIDIN
21,A BASEBALL PLAYER IN A BATTING STANCE AT HOME PLATE WITH THE CATCHER IN POSITION TO CATCH A PITCH,A BASEBALL PLAYER AND A BATTEF PANE ON COLE WITH A BOTKER IN POSITION APPAC A BITCH
22,A MAN AT BAT WAITING FOR A PITCH WITH A CATCHER AND UMPIRE BEHIND HIM AND PLAYERS FROM THE OPPOSING TEAM IN THE DUGOUT,A RED UMBRELL IN VEDY FLOSE WITH A CATCHER AND UMBIRESALIMAN PAYER ON TEE CLOSUR BEFORE GUS
23,A HITTER IS WAITING FOR THE PITCH TO BE THROWN,A PIDDLER IS WAITING FOR THE PITCH TOM HIS BALL
24,A BASEBALL PLAYER HOLDS HIS BAT AND WAITS FOR THE PITCH,A BASEBALL PLAYER ONA TIGE BAT IN AND INGING TE BATC
25,A BASEBALL PLAYER HOLDING A BAT NEXT TO A BASE,A BASEBALL PLAYER HOLDING A BRACKET IN OTO A FALE
26,TWO MEN PLAY THE NINTENDO WII CONSOLE WHILE OTHERS WATCH,TWO MEN PLAY SOY NINTENDOR I CONSOL WHILE TWO OTHERS WATCH
27,TWO FRIENDS ARE PLAYING EACH OTHER ON THE WII,TWO FRIELDS ARE PLAYING WITH EACH OTHER ON THE WII
28,THE TWO MEN ARE PLAYING VIDEO GAMES WHILE OTHERS WATCH,KUTE WITH CONVERSON PONVINDO EAR FOLL OF HER GLOVE
29,A COUPLE OF PEOPLE STANDING IN A ROOM WITH SOME REMOTES,A COUPLE OF PEOPLE STANDING IN A ROOM WIT OM REMOTE
30,TWO COLLEGE AGE BOYS PLAYING WII WHILE OTHERS LOOK ON,TWO POWER NTWO OWDER IN TOYS PLAYING A WOO WHILE OTHERS ARE ON
31,A BIRD IS WALKING RIGHT THROUGH A DINING ROOM,TYPOLIS IS WALKING UP A A DINING READ
32,A BIRD WALKING THROUGH A CAFETERIA NEXT TO A TABLE,A BIRLIS WALKING I TO I ATRAPECATION IT TABE
33,A GOOSE WALKING INSIDE OF A CAFETERIA AREA,A GUPE WALKING INSIDE OF A CABEG INDOWO
34,A BIRD WALKING ON A TILED FLOOR IN A CAFETERIA,A BIRD WALKING OUN A CANE TAT IN TATFIL 
35,A WHITE AND BLACK BIRD IS WALKING BY A TABLE AND SOME CHAIRS,A WHITE AND WHITE BIRD IS ROSTING BY A ROOM TABLE
36,A CLOSE UP OF A DOLL LAYING IN A BED WITH A BOOK,BLACK CLOTE AN TALL HAIR DOG CARRING IN A BED IIN NOPO
37,AN OLD DOLL LAYING ON A BED WITH A BOOK,AN OLD DOG LAYING ON A BED WITH A BOOK
38,A VINTAGE BABY DOLL WITH THE BOOK GOODY TWO SHOES ON ITS LAP,A GROUP OF BASY TOGS BOK PET INTOO AA
39,A DOLL WITH A BONNET AND A BOOK ON A PILLOW,A DOG ITS A BUN IN A BOOK ON A COLLET
40,A BABY DOLL LAYING ON TOP OF A BED UNDER A BOOK,A BIG DOG LAYING ON TOP OF A BED AND RUBBED OT
41,A CLOCK SHAPED LIKE AN APPLE SITTING ON A COUNTER,A CLOCK SHAPED LIKE AN EPPEN SITTING ON A TA
42,A CLOCK THAT LOOKS LIKE AN APPLE A PENGUIN AND A POTTED PLANT,A CLOCK THAT LOOKS LIKE A METAL OF HANGINGS AND A POWER PLANT
43,A RED APPLE WITH A CLOCK INSIDE OF IT,A RED CABINET  STUFF IN A BITEN O
