Index,Reference,Hypothesis
1,A URINAL IN A PUBLIC RESTROOM NEAR A WOODEN TABLE,A URINAL IN A PUBLIC RESTROOM NEARING WOODEN TABLE
2,A WHITE URINAL WHITE TILES A RED TABLE WITH A DISH,A WHITE URINALS A TIE RED TABLE WITH A BISH
3,A TABLE WITH A PLATE OF FOOD AND A URINAL BASIN,A TABLE WITH A PLATE OF SIT AN A USIN I SPACES
4,A LITTLE RED TABLE WITH A PLATE ON IT IN THE BATHROOM,A LITTLE R TABLE WITH A PLAN ON A ITELAST
5,A URINAL NEXT TO A RED TABLE WITH A PLATE SITTING ON THE TABLE,A GENA NEXT TO A FENC  PLATE SITTING ON THE TOR
6,A WOMAN HOLDING AN UMBRELLA WALKS PAST THE SIDE OF A BUS WITH A LARGE ADVERTISEMENT ON THE SIDE,A WOMAN HOLDING AN UMBRELLA WALKED PAST THESIDE OF A BUS WITH A LARGE ADVERTISE SIN
7,A WOMAN WITH AN UMBRELLA IS WALKING PAST A BUS,A WOMAN WITH AN UMBRELLA IS WALKIN PASTTRUCK
8,A WOMAN WALKING DOWN THE SIDEWALK NEXT TO A BUS,A WOMAN WALKING DOWN THE SIDEWALKSTIP
9,WOMAN WALKING NEXT TO COMMUTER BUS WITH UMBRELLA ON RAINY DAY,A WOMAN WALKING NEXT TO A COMMUTER BUS WITH UMBRELLA ON A RAIN DAY
10,A WOMAN HOLDING AN UMBRELLA AND WALKING BESIDE A BUS,A WOMAN HOLDING AN UMBRELLA AND WALKING BESIND A BUS
11,BLACK AND WHITE PHOTOGRAPH OF YOUNG SCHOOLBOYS,BLACK AND WHITE PHOTOGRAPH OF YONG SCHOOL FOMS
12,A BLACK AND WHITE PHOTO OF CHILDREN SITING POSING FOR A PHOTO,A BLACK AND WHITE PHOTO OF CHILDREN SITTING HOI TAIRPACER
13,A GROUP OF BOYS IN SUITS HOLDING A CHALKBOARD,A GROUP OF WHITE AND FIRS HOLDIN A SAPTOP
14,SCHOOL BOYS SIT CROSS LEGGED IN FRONT OF A CHALKBOARD SIGN IN A VINTAGE BLACK AND WHITE PHOTO,SKATEBOARDSIR CONSLATED IN FRONT OF A TRUCKWOK SIN AND VINTAGE WACKE ANBY COTE
15,SCHOOL CLASS PHOTO FROM THE BOYS SCHOOL OF STANDARD SOUTH CAROLINA,SKALEGLASS TOP IS ON STO STETSID
16,A MAN ON SKIS FLY THROUGH THE SKY,A MAN ON SKIS FLY THROUGH THE SKY
17,THE SKIER TAKES OFF DOWN THE STEEP HILL,THE SKIER TAKES OFF DOWN THE SREET TOT
18,A MAN IS SKIING IN MID JUMP ONTO A RAMP,LENA STREET WITH DUS TT
19,THE SKIER IS LEANING FORWARD WHILE JUMPING THROUGH THE AIR,THE STEATER IS LEANING OVER A JUMP
20,A MAN FLYING THROUGH HE AIR WHILE RIDING,A MAN FLYING THWITH AN AIRBORT RIDING
21,A BASEBALL PLAYER IN A BATTING STANCE AT HOME PLATE WITH THE CATCHER IN POSITION TO CATCH A PITCH,A BASEBALL PLAYER IN A VATIC SETNET PLACE WITH A CATURA POSITION TO HAVE TE POSE
22,A MAN AT BAT WAITING FOR A PITCH WITH A CATCHER AND UMPIRE BEHIND HIM AND PLAYERS FROM THE OPPOSING TEAM IN THE DUGOUT,A MANA BASK TAT A BIRDI INECTN ONPIR ONA A POSY T PE
23,A HITTER IS WAITING FOR THE PITCH TO BE THROWN,DAHIDS WAITING FOR THE PITCH TO BE FES
