Index,Reference,Hypothesis
1,A URINAL IN A PUBLIC RESTROOM NEAR A WOODEN TABLE,A GIRICLE IN A PUBLIC DESTREN OCTURI INIESAN DOG AN F
2,A WHITE URINAL WHITE TILES A RED TABLE WITH A DISH,WHITE ERNAL OF A TAPIN SIT BY TWO OF STAIGEBO
3,A TABLE WITH A PLATE OF FOOD AND A URINAL BASIN,A TABLE SAN A PLATE OF FOT ON A RON PICN
4,A LITTLE RED TABLE WITH A PLATE ON IT IN THE BATHROOM,A LITTLE RED TABLE A PLANE POST IN FET
5,A URINAL NEXT TO A RED TABLE WITH A PLATE SITTING ON THE TABLE,A  IS AN OLD PERSON TA RIDI E O T CH OTHER
6,A WOMAN HOLDING AN UMBRELLA WALKS PAST THE SIDE OF A BUS WITH A LARGE ADVERTISEMENT ON THE SIDE,IN A OLD ARALINIC COCKS PASSED THE SIDE OF A POSE WITH A LARGE APLE ISIW ON THE SIDE
7,A WOMAN WITH AN UMBRELLA IS WALKING PAST A BUS,A SO OVER  LIKEN UMBRELLA IS WALKINGIN PAST A VICE
8,A WOMAN WALKING DOWN THE SIDEWALK NEXT TO A BUS,A MAN IS PARKING DOWN THO SIDEWALK IS TITING Y A RI
9,WOMAN WALKING NEXT TO COMMUTER BUS WITH UMBRELLA ON RAINY DAY, MEN WALKING NEXT TO A TOEER BATUMBRELLA ON A RAICEFIELD
10,A WOMAN HOLDING AN UMBRELLA AND WALKING BESIDE A BUS,A STORER HOLDING TO GIRL ON IS WALKING BESIDE A BUS
11,BLACK AND WHITE PHOTOGRAPH OF YOUNG SCHOOLBOYS,A WHITE AND WHITE PHOTOGRAPH OTE OF A CITIN IN THE CITY
12,A BLACK AND WHITE PHOTO OF CHILDREN SITING POSING FOR A PHOTO,A PACK AND WHITE POY WITH A JECK OSIN HODING A PRIKLE BAON 
13,A GROUP OF BOYS IN SUITS HOLDING A CHALKBOARD,A PAIL OF PRIE FAXES AT ON A TOP
14,SCHOOL BOYS SIT CROSS LEGGED IN FRONT OF A CHALKBOARD SIGN IN A VINTAGE BLACK AND WHITE PHOTO,TWO MOTORCYCLES LADING IN A GREIN MARDER SIN ANINTACH AT AN WITE VARIETY
15,SCHOOL CLASS PHOTO FROM THE BOYS SCHOOL OF STANDARD SOUTH CAROLINA,ASON PASTRA OF OLEPANS INI  CES ARE PE
16,A MAN ON SKIS FLY THROUGH THE SKY,ABICE BING LAN ON A SCOON NICAPPLY OVR TISPAG BY THE TANK TOP
17,THE SKIER TAKES OFF DOWN THE STEEP HILL,A SKIER TAKES OFF DOWN THE STAT CORE
18,A MAN IS SKIING IN MID JUMP ONTO A RAMP,A MAN ONSKIE HIS BIT SOFE TOWARD AAD OVA E
19,THE SKIER IS LEANING FORWARD WHILE JUMPING THROUGH THE AIR,SAWICH IS MAN AND POTE ON CHOPUTS OF DIFFENT 
20,A MAN FLYING THROUGH HE AIR WHILE RIDING,TWO MEN FLYING THROUGH A AIRPOR IN A PI RACKET
21,A BASEBALL PLAYER IN A BATTING STANCE AT HOME PLATE WITH THE CATCHER IN POSITION TO CATCH A PITCH,A BASEBALL PLAYER IN A FABILY STANDE TPLACED WITH THE CATCHER POSITIONED TO PATCH O CATC
22,A MAN AT BAT WAITING FOR A PITCH WITH A CATCHER AND UMPIRE BEHIND HIM AND PLAYERS FROM THE OPPOSING TEAM IN THE DUGOUT,A PI AN BISH OF A PESTON TRAFI OF A AE PART PASING OT AN ONSO DI
23,A HITTER IS WAITING FOR THE PITCH TO BE THROWN,A KINNER IS FATING FITY PITCHED TOAN DOG A BOL
24,A BASEBALL PLAYER HOLDS HIS BAT AND WAITS FOR THE PITCH,A BASEBALL PLAYER PONTEN AS I WAITS OR A PITCH
25,A BASEBALL PLAYER HOLDING A BAT NEXT TO A BASE,A BASEBALL PLAYER POLDING A BACH AN SON TE SI
26,TWO MEN PLAY THE NINTENDO WII CONSOLE WHILE OTHERS WATCH,TWO MEN PLAY ONI POTOTER W S TE OTHER OYS
27,TWO FRIENDS ARE PLAYING EACH OTHER ON THE WII,TWO FRIENDS ARE PLAYED WITH EACH OTHER Y EUSIUN
