Index,Reference,Hypothesis
1,A URINAL IN A PUBLIC RESTROOM NEAR A WOODEN TABLE,A URINAL IN A PUBLIC DETROOM NEAR A WOODEN TABE
2,A WHITE URINAL WHITE TILES A RED TABLE WITH A DISH,A WHITE URINAL LI GON WITH OOL PEOPLE ITH ITTING OI I
3,A TABLE WITH A PLATE OF FOOD AND A URINAL BASIN,A TABLE WITH A PATAN FO AND A MEAVEN WIT FOZO
4,A LITTLE RED TABLE WITH A PLATE ON IT IN THE BATHROOM,A LILRED TABLE SITTING HIND A CORNER IN A BATHROOM
5,A URINAL NEXT TO A RED TABLE WITH A PLATE SITTING ON THE TABLE,A ROOM REMOTTO A BENG IT WIT A LOS SITIN ON A TA
6,A WOMAN HOLDING AN UMBRELLA WALKS PAST THE SIDE OF A BUS WITH A LARGE ADVERTISEMENT ON THE SIDE,A WOMAN HOLDING AN UMBRELLA WALKS PAST ON THE SIDE OF A BUS WITH A LARGE ADDRESS ENCACED EOTER
7,A WOMAN WITH AN UMBRELLA IS WALKING PAST A BUS,A WOMEN WITH AN UMBRELLA IS WALKING PAST A BUS
8,A WOMAN WALKING DOWN THE SIDEWALK NEXT TO A BUS,A WOMAN WALKING DOWN A SIDEWALK AN A FOR
9,WOMAN WALKING NEXT TO COMMUTER BUS WITH UMBRELLA ON RAINY DAY,A WOMAN WALKING NEXT TO A COMOTOR BICYCLE UMBRELLA ON A RAINA
10,A WOMAN HOLDING AN UMBRELLA AND WALKING BESIDE A BUS,A WOMAN HOLDING AN UMBRELLA IL WALKING IN LIGT ABOVE
11,BLACK AND WHITE PHOTOGRAPH OF YOUNG SCHOOLBOYS,BLACK AND WHITE PHOTOGRAPH OF YOUN VEOPELEPAN
12,A BLACK AND WHITE PHOTO OF CHILDREN SITING POSING FOR A PHOTO,A BLACK AND WHITE POL OF CHILDREN SITTING HOLDING FOR OER
13,A GROUP OF BOYS IN SUITS HOLDING A CHALKBOARD,A GROUP OF BOYS IN FOODS OVER A OPA AA
14,SCHOOL BOYS SIT CROSS LEGGED IN FRONT OF A CHALKBOARD SIGN IN A VINTAGE BLACK AND WHITE PHOTO,TODULTS WITH OTSOBEN IN FRONT OF A PASTE PAN ON AE BANCH OF RACTON ON POLO
15,SCHOOL CLASS PHOTO FROM THE BOYS SCHOOL OF STANDARD SOUTH CAROLINA,TO AFESHED WATE FOM A SOTE TAIL AN OUS SID
16,A MAN ON SKIS FLY THROUGH THE SKY,A MAL ON A CITCEN WITH SLICES A SAT
17,THE SKIER TAKES OFF DOWN THE STEEP HILL,A KILO ITE COW DROWNDED IN A TOY SNOW
18,A MAN IS SKIING IN MID JUMP ONTO A RAMP,THE MAN IS APIING A MID TASK AN ATO A A
19,THE SKIER IS LEANING FORWARD WHILE JUMPING THROUGH THE AIR,A SCOOTER IS EATING FOR E ISOM IN
20,A MAN FLYING THROUGH HE AIR WHILE RIDING,A MAN FLYING THROUGH THE AIR WHILE RIDING 
21,A BASEBALL PLAYER IN A BATTING STANCE AT HOME PLATE WITH THE CATCHER IN POSITION TO CATCH A PITCH,A BASEBALL PLAYER AND A BATTER PANTER ON PATE WITH A BACKET INESITON ATTACH A CAT
