Index,Reference,Hypothesis
1,A URINAL IN A PUBLIC RESTROOM NEAR A WOODEN TABLE,A URAN ELEPHANT A HUZZIC RESTORM WEARING A WEDDEN TABAN OVEN
2,A WHITE URINAL WHITE TILES A RED TABLE WITH A DISH,WHITE URINAL TOY TIES NFRONT TABLE WITH DISHAR
3,A TABLE WITH A PLATE OF FOOD AND A URINAL BASIN,A TABLE WITH A PLATE ON A OTOM WITH APACE ON FRAD
4,A LITTLE RED TABLE WITH A PLATE ON IT IN THE BATHROOM,A LITTLE RED TABLE ON A PLATE ON IN THE BED
5,A URINAL NEXT TO A RED TABLE WITH A PLATE SITTING ON THE TABLE,ON ELETERTS ONE TOK LIKE A ATARY IN
6,A WOMAN HOLDING AN UMBRELLA WALKS PAST THE SIDE OF A BUS WITH A LARGE ADVERTISEMENT ON THE SIDE,A HOTE HOLDING AN UMBRELLA WALKS PAST THE SIDE OF A BEST WITH A LARGE ADVERTISE 
7,A WOMAN WITH AN UMBRELLA IS WALKING PAST A BUS,A RED TRELLA AT IS PARKING PASTE BUS
8,A WOMAN WALKING DOWN THE SIDEWALK NEXT TO A BUS,A WOMAN WALKING ALOUNG A SIDEWALK IN FRON LOKS A FRISBER
9,WOMAN WALKING NEXT TO COMMUTER BUS WITH UMBRELLA ON RAINY DAY,MAN WALKIN NEX TO EACWITH A RASKIT UMBRELLA ON A RAINSTANT
10,A WOMAN HOLDING AN UMBRELLA AND WALKING BESIDE A BUS,WOMAN WAVING INTOERA LINE OST OS IT SINE IAS
11,BLACK AND WHITE PHOTOGRAPH OF YOUNG SCHOOLBOYS,BLACK AND WHITE PHOTOGRAPH OF NEK TO A OSUP
12,A BLACK AND WHITE PHOTO OF CHILDREN SITING POSING FOR A PHOTO,A PATILYIN DOT  SITTING WITH A BLAE ALYSTOSIR
13,A GROUP OF BOYS IN SUITS HOLDING A CHALKBOARD,A PATE OF KWIFE SITS ON A BASAN ARD OF MAA
14,SCHOOL BOYS SIT CROSS LEGGED IN FRONT OF A CHALKBOARD SIGN IN A VINTAGE BLACK AND WHITE PHOTO,TWO HOREINSIDE O A BETOA RESAAN VINTAGE ALKINGSIDE ON A BAD
15,SCHOOL CLASS PHOTO FROM THE BOYS SCHOOL OF STANDARD SOUTH CAROLINA,A BUS IN PATAA ON OSIDEIT A OTORCYCLE ARUND
16,A MAN ON SKIS FLY THROUGH THE SKY,A BATHROOM WITH HANELING SS AND HE SUPPLY INGE TISKYFILL
17,THE SKIER TAKES OFF DOWN THE STEEP HILL,A SKIER TAKES OFF DOWN A STEEP HILL
18,A MAN IS SKIING IN MID JUMP ONTO A RAMP,A MAN IS SUKING AN ANNIASAO
19,THE SKIER IS LEANING FORWARD WHILE JUMPING THROUGH THE AIR,A SKIER ARMAKING OLD O JUMPIN OU THE BACKOF TE
20,A MAN FLYING THROUGH HE AIR WHILE RIDING,A MAN FLYING SURFI AIRWANE ON A AKOF A OAS
21,A BASEBALL PLAYER IN A BATTING STANCE AT HOME PLATE WITH THE CATCHER IN POSITION TO CATCH A PITCH,A BASEBALL PLAYER IN A GANITE STANCE AT HOME PLATE WITH A MATCHERT POSITION TO CATCH E PITCH
22,A MAN AT BAT WAITING FOR A PITCH WITH A CATCHER AND UMPIRE BEHIND HIM AND PLAYERS FROM THE OPPOSING TEAM IN THE DUGOUT,A AN OF PRACTICE NEXT TOR A FUOPON OFATANI DISNEAAOIA E AE PASS
23,A HITTER IS WAITING FOR THE PITCH TO BE THROWN,A LIDL IT A LIDING OW NEXT TO A COCK
24,A BASEBALL PLAYER HOLDS HIS BAT AND WAITS FOR THE PITCH,A BASEBALTHER AINTS ON BAT A BASE ON THE PITCH
25,A BASEBALL PLAYER HOLDING A BAT NEXT TO A BASE,A BASEBALL PLAYER HILDI CANT IS IN A FASE
