Index,Reference,Hypothesis
1,A URINAL IN A PUBLIC RESTROOM NEAR A WOODEN TABLE,A URINAL IT A PUBLIC RESTROOM NEAR A WOODEN STABLE
2,A WHITE URINAL WHITE TILES A RED TABLE WITH A DISH,A WHITE ORINAL TOY PA OS THE EARTHWITH A I A WITNEO
3,A TABLE WITH A PLATE OF FOOD AND A URINAL BASIN,PAPERS WITH A FRETEIS IN THE STET
4,A LITTLE RED TABLE WITH A PLATE ON IT IN THE BATHROOM,LITTLE RED TABLE IT PATE ON O PAT
5,A URINAL NEXT TO A RED TABLE WITH A PLATE SITTING ON THE TABLE,GREEN MONTAN TO AT RED TABLE BI DISPLAYEDONTE TABLE
6,A WOMAN HOLDING AN UMBRELLA WALKS PAST THE SIDE OF A BUS WITH A LARGE ADVERTISEMENT ON THE SIDE,A WOMAN HOLDING AN UMBRELLA WALKS PAST THE SIDE OF A BUS WITH A LARGE AGOLET IS MOIN SI
7,A WOMAN WITH AN UMBRELLA IS WALKING PAST A BUS,A WOMAN WATIN UMBRELLA AN WALKIN FRONT OF HE RADE
8,A WOMAN WALKING DOWN THE SIDEWALK NEXT TO A BUS,A WOMAN WALKES DOWN A SIDEWALK NES NEXT TO ITHER
9,WOMAN WALKING NEXT TO COMMUTER BUS WITH UMBRELLA ON RAINY DAY,A WOMAN WALKING NEXT TO COMMUTER BUS WITH UMBRELLA ON A RAINY ENPOR
10,A WOMAN HOLDING AN UMBRELLA AND WALKING BESIDE A BUS,WOMAN HOLDING AN UMBRELLA N AN WALKIN BESIDE A BUS
11,BLACK AND WHITE PHOTOGRAPH OF YOUNG SCHOOLBOYS,BLACK AND WHITE PHOTOGRAPH OF YELLOW STEEL BOARD SE
12,A BLACK AND WHITE PHOTO OF CHILDREN SITING POSING FOR A PHOTO,A FIKE AND WHETE PHOTO OF CHILDREN AND A TANE NEAR TOAPO
13,A GROUP OF BOYS IN SUITS HOLDING A CHALKBOARD,A GROUP OF VISAND BOITS HOLDERING A GRASS WIN
14,SCHOOL BOYS SIT CROSS LEGGED IN FRONT OF A CHALKBOARD SIGN IN A VINTAGE BLACK AND WHITE PHOTO,A SCHOOL BOST IS ONSLATED IN FRONT OF A TRUCTIR SITIN ON INTAGE TRACTION BYTD
15,SCHOOL CLASS PHOTO FROM THE BOYS SCHOOL OF STANDARD SOUTH CAROLINA,A SCOOL PARTISTYCTON ITESA AN A RESIN TON
16,A MAN ON SKIS FLY THROUGH THE SKY,AGT MAN ON SKI WITH BLIKE GRIMPLE JA
17,THE SKIER TAKES OFF DOWN THE STEEP HILL,TE TER TAKES OFF DOWN THE CIT ILD
18,A MAN IS SKIING IN MID JUMP ONTO A RAMP,THERE IS A TWO BU WLASH N ETE AN  A
19,THE SKIER IS LEANING FORWARD WHILE JUMPING THROUGH THE AIR,A SKIER IT IS LEATING PHOTOMEL OF JUST I PREVET
20,A MAN FLYING THROUGH HE AIR WHILE RIDING,AMAN FYING AN AIRMONE RIKING
21,A BASEBALL PLAYER IN A BATTING STANCE AT HOME PLATE WITH THE CATCHER IN POSITION TO CATCH A PITCH,A BASEBALL PLAYER IN A BAT AN STANE FETINAL KITES ITH A TATCHER IT ITHON AN ADERTIS
22,A MAN AT BAT WAITING FOR A PITCH WITH A CATCHER AND UMPIRE BEHIND HIM AND PLAYERS FROM THE OPPOSING TEAM IN THE DUGOUT,A YENON TAT O E FERSI TO TECECTOAN UMPIRE BEHINDI AND PREPAIRED TO PORD MOSI E IDO
23,A HITTER IS WAITING FOR THE PITCH TO BE THROWN,A KIDER IS STADIN FOR THE PITCH TO BE BUN
24,A BASEBALL PLAYER HOLDS HIS BAT AND WAITS FOR THE PITCH,A BASEBALL WEAYER WATIN BAT APAITI ON ADVENTAG
25,A BASEBALL PLAYER HOLDING A BAT NEXT TO A BASE,A BASEBALL PLAYER HOLDING A RAC ET  RAIL AN
26,TWO MEN PLAY THE NINTENDO WII CONSOLE WHILE OTHERS WATCH,TWO YOUNG PLAYERS ANDING ADOR GAME CONSOLE WHILE TWO OTHERS WATCH
27,TWO FRIENDS ARE PLAYING EACH OTHER ON THE WII,TWO FRIENDS ARE PLAYING WITH EACH OTHER ON THE WA
28,THE TWO MEN ARE PLAYING VIDEO GAMES WHILE OTHERS WATCH,TWO ITTWO BORDS AT A PLAT VIDEO GAME WHILE ON I LINE
29,A COUPLE OF PEOPLE STANDING IN A ROOM WITH SOME REMOTES,A COUPLE OF PEOPLE STANDING IN A ROOM O OM ASIDE
30,TWO COLLEGE AGE BOYS PLAYING WII WHILE OTHERS LOOK ON,TWO POWE TRAINTWO PORE BAGE BOARDS AY LIVIN WHILE OTHERS DESIGNED
31,A BIRD IS WALKING RIGHT THROUGH A DINING ROOM,A BIRD WAMKING RED SHOE A DIMAN REC
32,A BIRD WALKING THROUGH A CAFETERIA NEXT TO A TABLE,A BERROS WALKING ETEN WIT AN ATETATE NEXT O ORART
33,A GOOSE WALKING INSIDE OF A CAFETERIA AREA,A BUSE QROLLLING INSIDE OF AN ADVERTERIAN AREA
34,A BIRD WALKING ON A TILED FLOOR IN A CAFETERIA,A BIRD WALKING ON A SUNNY TET IN PASSENGERIA 
35,A WHITE AND BLACK BIRD IS WALKING BY A TABLE AND SOME CHAIRS,A WHITE AND WHIKE BROWSAND DUSTY EYE TABIN 
36,A CLOSE UP OF A DOLL LAYING IN A BED WITH A BOOK,AK FLOAT OF OF ASON ARIAIN A BET IN A WOT
37,AN OLD DOLL LAYING ON A BED WITH A BOOK,AN OLD DOLL LAYING ON A BED WITH A BOOK
38,A VINTAGE BABY DOLL WITH THE BOOK GOODY TWO SHOES ON ITS LAP,AIS A AT DOG IPITS ABESI TOE ON THE WATER
39,A DOLL WITH A BONNET AND A BOOK ON A PILLOW,A DOG IN A BODY AND A BOOK ON A PILLOW
40,A BABY DOLL LAYING ON TOP OF A BED UNDER A BOOK,A BIGE DOG LAYING ON TOP OF A BEAD UNDER A BARE
41,A CLOCK SHAPED LIKE AN APPLE SITTING ON A COUNTER,A CO SHAPED OF AN ATLE SITTING ON THE TAD
42,A CLOCK THAT LOOKS LIKE AN APPLE A PENGUIN AND A POTTED PLANT,A CLOCK THAT LOOKS LIKE AN APPLE APENUIN AND A PALIC ACCANT OT E TABLE
43,A RED APPLE WITH A CLOCK INSIDE OF IT,A PAIR AF  TRUFFING AT AATPOR
44,AN ALARM CLOCK THAT IS SHAPED LIKE AN APPLE,IS ALONG CLOCK TO THE SHATE OF AN AIRPLANE TAN
45,A PLASTIC APPLE CLOCK ON A TABLE SURFACE,A PLASTIC ATHLET WOT  TABLE SURFACE
46,HORSES WITH JOCKEYS RACING ACROSS THE COAST OF SOME BEACH,PERSOTCE JOMPING TURN CISE UP A COAC IN FRONTET
47,A GROUP OF PEOPLE ON HORSES RACING TOGETHER,A BLOCK HORSE IS RACING HAND
48,THREE PEOPLE RACE THEIR HORSES DOWN A BEACH,THESE PEOPLE  A SURCER  POT
49,THE HORSES ARE RACING EACH OTHER ALONG THE BEACH,THE HORSES ARE RACING EACH OTHER ABOVE THE BEACH
50,A BLACK AND WHITE PHOTO OF JOCKEYS RIDING THEIR HORSES,A BLACK AND WHITE PHOTO OF BLACK ANDS RIDING OTE AN
51,A PASSENGER TRAIN MOVING DOWN THE TRAIN ON A BRIDGE,A PASSENGER TRAIN WIT ANOTER SECND ON A FRIDGE
52,A LARGE LONG TRAIN ON A STEEL TRACK,A LARGE LAM BEHIND I A FILDIN A
53,A TRAIN THAT IS ON A RAIL OVER A BRIDGE,A TRAN THAT IS ON THE RAIL OVER A WRAN TE TIN
54,A TRAIN ON TOP OF AN OVERPASS BRIDGE SET OF TRAIN TRACKS WITH FIELDS ON BOTH SIDE,TRAIN ON TOP OF AN OPEN PASSENGEDGE PETTING UP TRAIT TATT  IN A FEAL POSSBL PLA
55,TRAIN MOVING ALONG RAISED TRACKS WITH MOUNTAIN IN BACKGROUND,TRAIN MOVING ALONG AY TRACKS WITH OTIN IN PACKAC
56,A TEDDY BEAR SITTING IN FRONT OF A PILE OF BOXES,TWO TEDDY BEARS XTO THE PO UP ONE SPIRED PHEMONITER
57,A TEDDY BEAR NEXT TO FOUR BOXES ON THE FLOOR,A TEDDY BEAR NEXT TO OR BOXES ON THE FOR
58,A TEDDY BEAR SITTING ON THE GROUND IN FRONT OF MANY BOXES,A TEDDY DIRI SITTING ON A COVER AN BONT O A E WAT
59,A TEDDY BEAR IS SITTING IN FRONT A GROUP OF BOXES,A TEDDY BEAR S SITTING IN FONOF OPIN BOT  
60,A BIG TEDDY BEAR SITTING NEXT TO SOME BOXES,A BLUE TEDDY BEAR SITTING NEXT TO SOME BOXES
61,A SEAGULL STANDS ON THE BEACH IN FRONT OF A WAVE,PEOPLE IT TAND ROUNDEN PITER ON OF ADA
62,A SEAGULL STANDING NEAR THE OCEAN ON THE SAND,ASI ROSTEIT APEARO AL ON A WON SIDEWA
63,A SEAGULL STANDING ON THE SAND NEAR THE WATER,SABS AND A DOAT SETTING ON AN AIRPLAN
64,THE BIG BIRD IS STANDING ON THE BEACH BY THE WATER,TEMAD TROWLI TANDIN IN TE AI FIR
65,A SEAGULL STANDING ON THE SAND OF A BEACH,A SEABU STACTING ON THE SANDON OP A EAH
66,A BUS FULL OF HAPPY TOURISTS DRIVES DOWN THE STREET,A UNPOS AT THE CLIAWED DOWN EWA
67,DOUBLE DECKER BUS WITH PEOPLE ON THE TOP FLOOR ON ROAD,OVERFISION BAL AN IT ON THE TOSS BEROW OF A RAD
68,A DOUBLE DECKER BUS WITH PEOPLE WAVING FROM THE TOP,A DUBLE BUS ABOUN TO MIT AN RAIN POKING DOWN
69,A DOUBLE DECKER BUS DRIVING DOWN A STREET,A DOUBLE DECKER BUS DRIVING DOWN A RADD
70,RED DOUBLE DECKER BUS WITH PEOPLE STANDING ON TOP,A COUBLE DECKE HAS SITTIN AN SATION ON TOPS
71,A MAN LEANING HIS MOUTH DOWN TO A PLATE THAT HAS A SANDWICH ON IT AND A BLUE WATER BOTTLE BEHIND IT,A MAN SO ONTO PANTUR AN THE FRONT OF A WATER BAL
72,A MAN TAKING A BITE OF A SANDWICH WITHOUT USING HIS HANDS,A MAN TAKING A MOTER REBENTLANCE ADOT IS AMUSAN ON  CORNER
73,A MAN EATING A SANDWICH OFF OF A WHITE PLATE,A SANDING SHOP OT A WHITE POTO
74,A SMILING GUY STICKING HIS FACE NEAR A BIG SANDWICH,A SMILING GUY AT  SKATE PEAR ITANDIN
75,WITHOUT USING HANDS A MAN TRIES TO BITE A PAIR OF SANDWICHES,A BALCON AN  AN DROWS A BIT MILITARY CES
76,A HUSKY STANDS BY AS A SKIER STANDS THERE,A JU IS TAYN BY A OPUTER AE
77,A PERSON ON SOME SKIS AND A DOG IN THE SNOW,H D AND A DOG IN THE SERV
78,A MAN ON SKIS WITH A DOG NEXT TO HIM,A VAN ON SKIS WITH A DORG NEXI
79,A MAN ON SNOW SKIS WITH HIS DOG,A MAN IT A STAF ONA ARC
80,A PERSON RIDING SKIS ON TOP OF A SNOW COVERED SLOPE NEAR A DOG,A PERSON WAYING ON TOP OF A STOVE COVERED SLOPE NEAR A BY
81,A GIRAFFE REACHING UP TO SOME TREE BRANCHES,A GIRAFFE IS ORECTAIT ON  LITTE POLE
82,A GIRAFFE STANDING UNDER A LEAF FILLED TREE,A GIRATFE  BA DICUMBERD IN BUK TOS IN TE METION
83,THE GIRAFFE EXTENDS UPWARD WHILE EATING FROM THE BRANCHES OF A TREE,A GRASSIT ANI SA ORAGE WHILE LEANING FROM THE BRANCHES OF A PORD
84,A GIRAFFE THAT IS STANDING IN THE GRASS,A GIRAFFE THAT IS STANDING ON E GRASS
85,A TALL GIRAFFE STRETCHES TO REACH HIGH LEAVES ON A TREE,A TALL GIRAFFE STRETCHED TINT HIGH REAS OVETRON
86,THE PALACE OF WESTMINSTER FEATURING ELIZABETH TOWER THAT HOLDS BIG BEN,A PILE OF OF RUSTRAN   VERY TIT CARYAN IN TEGENO TOWER TAT HOLDS BIG BAR
87,A BRIDGE NEXT TO A TALL BUILDING AND THE BIG BEN TOWER,A GRAZE WIH MALL DERTYPIECEN GET BING OUT
88,A CASTLE IS SHOWN ON THE WATER NEXT TO A BRIDGE,A TRAFELING IS SHOWN ON THE WATER NEXT TO A BRILCH
89,AN OLD CLOCK TOWER STANDS NEAR A BRIDGE AND OTHER LARGE OLD MEDIEVAL TYPE STRUCTURES,AN OLD CLOCK OWN TANDS NEAR A STREET AND EVERY LARGE OLD WITH PEOPLE FIGHT TRUCTING ON THE SID
90,THE BIG BEN CLOCK TOWER TOWERING OVER THE CITY OF LONDON,BIG BIG CARK TOW AREONN CITY OF WATE
91,MAN RELAXING NEAR A TRAIL CLOSED SIGN ON THE GROUND,FAMIRACK IS MADE RES TOV SIGN ON THE RUNY
92,A MAN SITTING ON A WALL NEXT TO WATER NEXT TO A BARRIER,A MAN PITS UP A DOG TAT IN THE WATER NEX O V
93,A MAN WITH HIS SHIRT OFF SITTING BY THE SHORELINE SUNNING HIMSELF,A MAN WITH A SHIRT ON SITTING BY THE SHORE AND SIN ON TELL
94,A SIGN LAYING ON A LUSH GREEN FIELD NEAR A BODY OF WATER,A SIDEWAITIN ON A TREET FERIN OE
95,A MAN WHO IS SITTING DOWN NEXT TO A BODY OF WATER,A PERSON WHO IS SITTING RED NEXT TO A BODY OF WATER
96,A PHOTO TAKEN FROM A CAR LOOKING AT A SKATEBOARDER ON THE SIDE OF THE ROAD,A PHOTO TAKER ON A CARGEGE AN A SKATEBOARD ON  THE ROAD
97,A ROAD FILLED WITH CARS IN A DESERT,A ROAD I PARKED INEE A
98,A MAN WALKING DOWN A STREET NEXT TO A ROAD FILLED WITH CARS,MAN WALKING DOWN A STREET WIT CORROAD FILLED WITH CARS ON I
99,VIEW FROM INSIDE OF A CAR OF CARS ON ROAD AND A MAN ON THE SIDE OF THE ROAD,TANI INSIDE OF A CAR ITH CARG AN BIDING MAN ON THE SIDE OF THE ROAD
100,MAN RIDING A SKATE BOARD TOWARDS THE TRAFFIC ON A TWO LANE ROADWAY,MAN RIDING A SKATEBOARD PORST TRAFFIC ON A TO LANBORD WA
101,A GROUP OF PEOPLE GATHERED AROUND A TABLE FILLED WITH FOOD,A PERSON LOOK AT THE GON OF IS TATBO
102,A LONG TABLE WITH MANY CONTAINERS OF FOOD ON IT AND MANY PEOPLE AROUND IT,A LONG TABLE WITH MANY CONTANOR SRIPEERS ON IT AND MANY PEOPLE AROUND IT
103,PEOPLE ARE LINED UP ALONG A LONG PICNIC TABLE,EPO A ON DO RN A LONG PICNIC TIBE
104,GATHERING OF PEOPLE DISHING OUT FOOD SET ON A LONG TABLE WITH CHECKERED TABLECLOTH,A AIRLINE OF TEEBO TAP IN NE TAT ON A WALL PL  JACTONS AN TATING ON  BAR
105,A GROUP OF PEOPLE EATING FOOD AT AN OUTDOOR PICINIC,A GROUP OF PEOPLE I O A BAT ONWORD O 
106,A CAT LAYING ON A TOILET SEAT WITH ITS PAWS INSIDE,IS CATWAY IN OTHER EUAITING RFAR IN THE SIN
107,A BLACK AND GRAY CAT IS SITTING ON A TOILET,A LITEY WED HAT IS SITTING IN E TRAIL
108,A CAT SITTING ON THE EDGE OF THE TOILET LOOKING TOWARD THE OPEN BATHROOM DOOR,A CAT SITTING IN THE AIR WITHDUY MAKING TOWARS E LOOKING DOWN IN E A
109,A CAT SITS ON THE EDGE OF A TOILET,A CAT IN SUNHED ON TRAR
110,A CAT IS LAYING ON A TOILET SEAT,A TAT IS LAYNG ON THE ROADWD
111,A CAT SITS ON TOP OF A TOILET BOWL,A CAT SITTING ON THE TOT O A TABLE SINE
112,A SMALL CAT SITS PERCHED ON THE BACK OF A TOILET,SMALL BET S PERCHED IN THE BACK OF A ROAD
113,A CAT SITTING ON THE BACK OF A TOILET BOWL WITH NO TANK,A CAT SITTING ON THE BACK OF A PARFA WITH LAT ANMONE 
114,A SMALL CAT SITS ON TOP OF A WHITE TOILET MISSING ITS SEAT IN A BATHROOM,A SMALL CAT SITS ON TOP OF A WHITE TOILET AND NTIC INTERSIZE IN THE BACKGROUND
115,A CAT SITTING ON A TOILET IN A BATHROOM,A CAT LEATING ON THE CHAIR ON A CO
116,AN ANGLED SHOT OF A FULLY STOCKED KITCHEN WITH WOODEN CABINETS,AN ANROP SHOT O TRUCK IN A AMADAN CAB
117,AN OPEN KITCHEN IS SHOWN WITH LIGHT BROWN CABINETS,APETATION IS SHOWN WITH LIGHT BROWN HAIR
118,SOME WOOD CABINETS IN A LARGE HOME KITCHEN,SEXEERD PANE O A LARGE METY PICTER
119,A KITCHEN WITH A SINK DISHWASHER AND MICROWAVE OVEE,A KIGEON SCENE   IS WATSHEN AND METOLAE OVEN MOTE
120,A KITCHEN FILLED WITH WOODEN CABINETS AND A MICROWAVE OVEN,A KITCHEN TALE WITH FODEN ADENS AND MICROWAVERO
121,A BUNCH OF FRUIT SITS IN FRONT OF A PORTRAIT,A BUNCH OF APON SITS IN FRONT OF A BOLTABE
122,SOME ART WORK WITH A MAN WITH A HAT ON AND SOME FRUIT IN A BOWL,JOM ARTWORK WITH A MAN WITH A HAT ON AN JON ON THE SUID
123,A PAINTING OF A MAN SMILING BEHIND A TABLE WITH FRUIT,ENTO OFA MAN SMILING U ON A TABLE WITH WODA
124,A PAINTING OF A BOWL OF FRUIT SITTING IN FRONT OF ANOTHER PAINTING, OF A BOWL OF TREE TITEE IN FART OF ANOTHER AN STREEN
125,THIS IS A STILL LIFE OF FRUIT AND AN OLD MAN,CISTIS AN A STILL RITE OBE AND A ON AN
126,A LITTLE GIRL IS HOLDING ON TO A HAIR BRUSH,A WOODEN BELL IS WAITING ON THE FIL FAR A BUNCIN
127,A BABY GIRL IS HOLDING A PINK BRUSH AS SHE SCRATCHES HER HEAD,A BABY GIRL IS HOLDING OING THE RIGHT FONE IT HE SCRATCHES IN BACKGROUND
128,A YOUNG GIRL COMBING HER HAIR WITH A PINK COMB,OME GIRL HODING HER HAIR WOT   PHONE
129,A GIRL GRABS HER HAIR AND HOLDS ONTO HER HAIRBRUSH,ROWCAST BANAN OLIN THER RIGHTANDS ON THE WATERBOAT
130,THE YOUNG GIRL IS BRUSHING HER HAIR,THE AMMURALIS FETION PREPARE ON TH PAOR
131,TWO BABIES SITTING ON THEIR POTTIES IN THE BATHROOM,TWEO WAITES SITTING IN RID POWYS IN THE BAKDUN
132,TWO NAKED BABIES ON TRAINING TOILETS IN A BATHROOM,TI AKETATES ON GREEN WINROW IN THE BATHGROUND 
133,A SET OF TWINS WHO ARE TAKING A BATH,A CITY TID WITH IN A EKA PACTOO E
134,A COUPLE OF LITTLE GIRLS SITTING NEXT TO EACH OTHER IN A BATHROOM, SEVERAL OF LITTLE GIRLS SITTING NEXT TO EACH OTHER ON THE BACKGROUND
135,TWO CHILDREN ARE PRACTICING USING THE POTTY NEXT TO EACH OTHER,TWO PILDREN AT TOPIN ENTERTAINMENT RIDING NEXXTO EACH OTHER
136,A MAN IN A WET SUIT RIDING A WAVE ON A SURF BOARD,AMAN WITH A S RIDING AN ON THE SIM AR
137,THERE IS A MALE SURFER THAT IS RIDING IN THE WAVE,THERE IS A MARROW PERSON THAT IS RIDING IN THE ROAD
138,A MAN ON A SURF BOARD RIDES A WAVE,E MAN ON A SURFBOARD RIDES I NEON
139,A SURFER IN THE OCEAN ON THE CREST OF A WAVE,SURFER IN THE OTIONALY PASTIN THE WIVE
140,A MAN THAT IS ON A SURFBOARD IN THE WATER,A MAN AND S O STREET POIN A ROD
141,A TEDDY BEAR SITS BY A KEYBOARDS AND MICROPHONE,A TEDDY BEAR SLITING BOAR KATEBOARD WARING MAGA JO
142,STUFFED BEAR WEARING GLASSES WITH ELECTRONIC AUDIO EQUIPMENT,SOCKEN BEAR WEARING GLASSES WITH ELECTRONIC ARION
143,A TEDDY BEAR THAT IS DRESS IN GLASSES AND IS LISTENING TO AN IPOD,A TEDDY BEAR PASSPARS WITH DREST AND GLASSES A FISTENING OV AN AO
