Index,Reference,Hypothesis
1,A URINAL IN A PUBLIC RESTROOM NEAR A WOODEN TABLE,A URINAL WITH A PUBLIC ESTRNT I CNARA WOODEN TREECH
2,A WHITE URINAL WHITE TILES A RED TABLE WITH A DISH,A WHITE URINAL EY PAG ON SITE WIDING IFFE AE
3,A TABLE WITH A PLATE OF FOOD AND A URINAL BASIN,A TABLE WITH A TABLE FO ANLIATED WITH BASIN
4,A LITTLE RED TABLE WITH A PLATE ON IT IN THE BATHROOM,A LITTLE RED TABLE WITH A PLANE ONIT IN RAIL
5,A URINAL NEXT TO A RED TABLE WITH A PLATE SITTING ON THE TABLE,AARTIN METAMOLEPU BENCH BEONID ININ OPE TELIGT
6,A WOMAN HOLDING AN UMBRELLA WALKS PAST THE SIDE OF A BUS WITH A LARGE ADVERTISEMENT ON THE SIDE,A WOMAN HOLDING AN UMBRELLA AND WALKS PAST ON THE SIDE OF A BUS WITH A LARGE MATRAR AN PACE INSIDE IT
7,A WOMAN WITH AN UMBRELLA IS WALKING PAST A BUS,A OPEN WITAN UMBRELLA WALKING PAST A BUS
8,A WOMAN WALKING DOWN THE SIDEWALK NEXT TO A BUS,A RUNCH OT COSSOF DOLGAN IDEWALK NEXA FIELD
9,WOMAN WALKING NEXT TO COMMUTER BUS WITH UMBRELLA ON RAINY DAY,A WOMAN WALKING NEXT TO A COMMUTER BUS WITH ONBERLA ON A RAINY DAY
10,A WOMAN HOLDING AN UMBRELLA AND WALKING BESIDE A BUS,A WOMAN HOLDING AN UMBRELLA WHILE IS WALKING ONSIDE ABOVE
11,BLACK AND WHITE PHOTOGRAPH OF YOUNG SCHOOLBOYS,BLACK AND WHITE PHOTOGRAPH OF YOUNG SCREEEROTS
12,A BLACK AND WHITE PHOTO OF CHILDREN SITING POSING FOR A PHOTO,A BLACK AND WHITE BOW OF CHILDRENS RIEN PLAING TREOME
13,A GROUP OF BOYS IN SUITS HOLDING A CHALKBOARD,A BAULFUL BOYSE IN SOOT OLIN A TAPTO
14,SCHOOL BOYS SIT CROSS LEGGED IN FRONT OF A CHALKBOARD SIGN IN A VINTAGE BLACK AND WHITE PHOTO,SCHOOL DOLS WITH COSWEDEN IN FRONT OF A TRACKLAR SITTING ON THE INTAGE DRESSER BATABLE
15,SCHOOL CLASS PHOTO FROM THE BOYS SCHOOL OF STANDARD SOUTH CAROLINA,TI FASTA N EIN TABLES AN A EHAT PAT
16,A MAN ON SKIS FLY THROUGH THE SKY,A MAN ON SCAND WITH FLI TROGH A CAT
17,THE SKIER TAKES OFF DOWN THE STEEP HILL,KIO TAKES OFF DOWN AT A ATPORT
18,A MAN IS SKIING IN MID JUMP ONTO A RAMP,E RAIL ISKN EATA WOOD DLOCK RAKIN NEA OCEAN
19,THE SKIER IS LEANING FORWARD WHILE JUMPING THROUGH THE AIR,HE SPEAER IS LEATING O A LOGE OF COMPUTE
20,A MAN FLYING THROUGH HE AIR WHILE RIDING,A MAN FLYING TU THE AIR WHILE RIDING A 
21,A BASEBALL PLAYER IN A BATTING STANCE AT HOME PLATE WITH THE CATCHER IN POSITION TO CATCH A PITCH,A BASEBALL PLAYER IN A BATTING STANDFET ON PLATE WITH THA CATCHER INTEDISON ATTACH O HOT
22,A MAN AT BAT WAITING FOR A PITCH WITH A CATCHER AND UMPIRE BEHIND HIM AND PLAYERS FROM THE OPPOSING TEAM IN THE DUGOUT,A GREN ON GRASS IN A FORESTUR WITH A SNECTURE ONFIRES MATIN IN PIR E ENCLOSURE NA ARDEA
23,A HITTER IS WAITING FOR THE PITCH TO BE THROWN,A CODOS MAKING TOM A PITCH TO BA CA
24,A BASEBALL PLAYER HOLDS HIS BAT AND WAITS FOR THE PITCH,A BASEBALL PLAYER ON A SUIT CATPOITS ANOTHE TATCH
25,A BASEBALL PLAYER HOLDING A BAT NEXT TO A BASE,A BASEBALL PLAYER HOLDING A BAT NET IN ONTOF A RIIM
26,TWO MEN PLAY THE NINTENDO WII CONSOLE WHILE OTHERS WATCH,TWO MEN PLAY GAING TENDO IN CONSULT WHIL THE OTHERS WATCH
27,TWO FRIENDS ARE PLAYING EACH OTHER ON THE WII,TWO FRIENDS ARE PLAYING WITH EACH OTHER ON THE WOOD
28,THE TWO MEN ARE PLAYING VIDEO GAMES WHILE OTHERS WATCH,TOLOKSA ROD AN I RIDO IN ON OE LOT
29,A COUPLE OF PEOPLE STANDING IN A ROOM WITH SOME REMOTES,A COUPLE OF PEOPLE STANDING IN A ROOM A REMOTE
30,TWO COLLEGE AGE BOYS PLAYING WII WHILE OTHERS LOOK ON,T POWDLE ON ACE WOESPAYI E WHILE OTHERS LOOK ON
