Index,Reference,Hypothesis
1,A URINAL IN A PUBLIC RESTROOM NEAR A WOODEN TABLE,A URINAL IN A PUBLIC WET SHIRT WEARING WOODEN SKABOARD
2,A WHITE URINAL WHITE TILES A RED TABLE WITH A DISH,A WHITE MURIMASE AND WHITE PILE  ANA BEN ABE WITH A PIBA AAN PICKUP
3,A TABLE WITH A PLATE OF FOOD AND A URINAL BASIN,A TABLE WITH A PLATE OF TON AND MANY IINICATON
4,A LITTLE RED TABLE WITH A PLATE ON IT IN THE BATHROOM,A LITTLE RED TABLE HOLD A PLAD ON A ENNOWEB
5,A URINAL NEXT TO A RED TABLE WITH A PLATE SITTING ON THE TABLE,A LIVING ROOM WHITE A BENDA ALE WITH A WHIT  AND THE TABLE
6,A WOMAN HOLDING AN UMBRELLA WALKS PAST THE SIDE OF A BUS WITH A LARGE ADVERTISEMENT ON THE SIDE,A WOMAN HOLDING AN UMBRELLA WALKS PAST THE SIDE OF A FASON OF A LARGE MACET AN IN ON ON APO
7,A WOMAN WITH AN UMBRELLA IS WALKING PAST A BUS,A WORMAN WITH AN UMBRELLA IS WALING TISAN OF THE BUS
8,A WOMAN WALKING DOWN THE SIDEWALK NEXT TO A BUS,A WOMAN WALKING DOWN THE SIDEWALKE OUNEAR LON
9,WOMAN WALKING NEXT TO COMMUTER BUS WITH UMBRELLA ON RAINY DAY,A WOMAN WALKING NEAR COUCHIN COMMUTER BUSIT AN UMBRELLA ON A RAINOWAT COURL
10,A WOMAN HOLDING AN UMBRELLA AND WALKING BESIDE A BUS,WOMAN HOLDING AN AROW INAND WALKING IN A HINDER CARK
11,BLACK AND WHITE PHOTOGRAPH OF YOUNG SCHOOLBOYS,BLACK AND WHITE PHOTOGRAPH OF YOGO STIL FECE
12,A BLACK AND WHITE PHOTO OF CHILDREN SITING POSING FOR A PHOTO,A PLAFIN MITPLODO OF CHILDREN SITTING O PAA EIN
13,A GROUP OF BOYS IN SUITS HOLDING A CHALKBOARD,A GROUP OF BOY IN A ROOM HOLDING A COTOBHALL WAING A HAND
14,SCHOOL BOYS SIT CROSS LEGGED IN FRONT OF A CHALKBOARD SIGN IN A VINTAGE BLACK AND WHITE PHOTO,AIRBOTS WER HORSE LOADED IN FRONT OF A CHARKLATE SIGN AN AN ENGINE WALKING ONTED
15,SCHOOL CLASS PHOTO FROM THE BOYS SCHOOL OF STANDARD SOUTH CAROLINA,SCHOOL PUPED ONIT AN PATES MATE  A SET OE
16,A MAN ON SKIS FLY THROUGH THE SKY,TWO MEN ON SKIS QUIET GROUNTIS GA
17,THE SKIER TAKES OFF DOWN THE STEEP HILL,A MAR TAKES OFF BROWN IT II POR
18,A MAN IS SKIING IN MID JUMP ONTO A RAMP,A MAN IS OMTING A ISFLAT IN KIIA
19,THE SKIER IS LEANING FORWARD WHILE JUMPING THROUGH THE AIR,THA SPEAKER IS LEATING PHOTE A CHI IN THE AA
20,A MAN FLYING THROUGH HE AIR WHILE RIDING,A MAN PIYING WITH AN ARA BORT RIDIN
21,A BASEBALL PLAYER IN A BATTING STANCE AT HOME PLATE WITH THE CATCHER IN POSITION TO CATCH A PITCH,A BASEBALL PLAYER IN A BAT TAND TATA LAY WITH A FATURED POSITION AS E APPOSE HIW
22,A MAN AT BAT WAITING FOR A PITCH WITH A CATCHER AND UMPIRE BEHIND HIM AND PLAYERS FROM THE OPPOSING TEAM IN THE DUGOUT,A ANAT DASK AT A PERSON WIH A JOUNGR ON  HART CAN A PLAYER TAKING A POISES IN A IT BAIRGROUND
23,A HITTER IS WAITING FOR THE PITCH TO BE THROWN,A POPLE IS WAITING FOR THE TAGE TO BI BUS
24,A BASEBALL PLAYER HOLDS HIS BAT AND WAITS FOR THE PITCH,A BASEBALL PLAYER HOLDS AN PAG HITES WITH A PINCH
25,A BASEBALL PLAYER HOLDING A BAT NEXT TO A BASE,A BASEBALL PLAYER IS IN THE BAN OT ANOABUS OIN
26,TWO MEN PLAY THE NINTENDO WII CONSOLE WHILE OTHERS WATCH, TWO MAN PLAY PLAYING ADERI CONSOL WHILE THE OTHERS WATCH
27,TWO FRIENDS ARE PLAYING EACH OTHER ON THE WII,TWO BREAD CARE CLOWING ITH EACH OTHER ON THE WING
28,THE TWO MEN ARE PLAYING VIDEO GAMES WHILE OTHERS WATCH,TWO INCOTUMBERS ARE PLAYING VO GIS ON A MOTOR BUG
29,A COUPLE OF PEOPLE STANDING IN A ROOM WITH SOME REMOTES,A COUPLE OF PEOPLE STANDING IN A ROOM ITH OF ROROSE
30,TWO COLLEGE AGE BOYS PLAYING WII WHILE OTHERS LOOK ON,TWO COLLEGE ANSED NATWO COLLEGE AAGE BOYS PLAYING WII WHILE OTHERS LOOK ON ATA
31,A BIRD IS WALKING RIGHT THROUGH A DINING ROOM,A BIRD IS WALKING RIY THROUGH A DI GAME
32,A BIRD WALKING THROUGH A CAFETERIA NEXT TO A TABLE,A BAIS WALKING THONI IN FED OF A ROOM ON TABORD
33,A GOOSE WALKING INSIDE OF A CAFETERIA AREA,A SINCH WALKING INSIDE OF A CATETERIAL AREA
34,A BIRD WALKING ON A TILED FLOOR IN A CAFETERIA,A BIRD WALKING ON THA TILED FLOOR WITH A TET TERE
35,A WHITE AND BLACK BIRD IS WALKING BY A TABLE AND SOME CHAIRS,A WHITE AND MICOVE WOSAN RYING A I AI  CHAIR
36,A CLOSE UP OF A DOLL LAYING IN A BED WITH A BOOK,BAF FLOON AS OGE LETTING AING A WITEA WOM ABE
37,AN OLD DOLL LAYING ON A BED WITH A BOOK,AN OLD DOG LAYING ON A BENCH WITH A BOT
38,A VINTAGE BABY DOLL WITH THE BOOK GOODY TWO SHOES ON ITS LAP,A MAN AN ASY CILD WITH A PORT COMPUTIN ANTEA A ANWA
39,A DOLL WITH A BONNET AND A BOOK ON A PILLOW,A DOG WITH A BINE AND A BOOK ON A PILLAW
40,A BABY DOLL LAYING ON TOP OF A BED UNDER A BOOK,A BIG DOG IN  RAYING RON OP OF HE HED UNDER A BOT A BO
41,A CLOCK SHAPED LIKE AN APPLE SITTING ON A COUNTER,A TLOCK SHAPED MARK A PAT POSE OF E RORA TRAN
42,A CLOCK THAT LOOKS LIKE AN APPLE A PENGUIN AND A POTTED PLANT,A CLOCK THAT LOOKS LIKE AN OPL A PENGUIN AND OTER PATC AXT
43,A RED APPLE WITH A CLOCK INSIDE OF IT,A RED APPLE IT BOTBING RID THOLDING A FRISBELL
44,AN ALARM CLOCK THAT IS SHAPED LIKE AN APPLE,A MAN WALNDS CROSS TO THE SHEEP RY AN AIRPA INA
45,A PLASTIC APPLE CLOCK ON A TABLE SURFACE,ENA PLASTIC CATLET WIING IN FRONT F TABLE SERVICE
46,HORSES WITH JOCKEYS RACING ACROSS THE COAST OF SOME BEACH,PERSON DONE DRIM IN OM  STOBORD
47,A GROUP OF PEOPLE ON HORSES RACING TOGETHER,TO FLON HORSES RACING FIELD
48,THREE PEOPLE RACE THEIR HORSES DOWN A BEACH,TWO PEOPLE IN CITON   BALDINTR
49,THE HORSES ARE RACING EACH OTHER ALONG THE BEACH,TWE HORSES ARE RACING EACH OTHER ALONG THE BEACH
50,A BLACK AND WHITE PHOTO OF JOCKEYS RIDING THEIR HORSES,A BATON OF A PHOTO OF BATHROOMS RIDING NTE TOVE
51,A PASSENGER TRAIN MOVING DOWN THE TRAIN ON A BRIDGE,TWO BATHROOMS WITH CRN MAVING DOWN THE TRANN OF AIVERING
52,A LARGE LONG TRAIN ON A STEEL TRACK,A LARGE ABONBE SINE OF A WOOD BAN
53,A TRAIN THAT IS ON A RAIL OVER A BRIDGE,A TRUK THAT IS ON THE RAIL OVER A BRIDGE
54,A TRAIN ON TOP OF AN OVERPASS BRIDGE SET OF TRAIN TRACKS WITH FIELDS ON BOTH SIDE,A TRAIN ON TOP OF A LOCA BAE A WIT SET OF TRAIN TRACKET AND WHEELS ONO
55,TRAIN MOVING ALONG RAISED TRACKS WITH MOUNTAIN IN BACKGROUND,SCREEN WITH A ALONG VASE BRACK WITH MOUNTAN IN THE BACKGROUND
56,A TEDDY BEAR SITTING IN FRONT OF A PILE OF BOXES,A ERSOF TEDDY BEARS IS SUTING IN FRONT OF AN PRIRE WINBOS
57,A TEDDY BEAR NEXT TO FOUR BOXES ON THE FLOOR,A TARY A EX TO O A BOX SI
58,A TEDDY BEAR SITTING ON THE GROUND IN FRONT OF MANY BOXES,A TEDDY BEAR SITTING ON THE GROUND IN FRONT OF I WOLS
59,A TEDDY BEAR IS SITTING IN FRONT A GROUP OF BOXES,A TEDDY BEAR S SITTING IN OLT A GERT O BASETS ON A WAW
60,A BIG TEDDY BEAR SITTING NEXT TO SOME BOXES,A BIG TEDDY BEAR SITTING NEXT TO SOME VOXES
61,A SEAGULL STANDS ON THE BEACH IN FRONT OF A WAVE,AG ZEBRA SAVED ON THE PIZZA IN SOT OF A ROM 
62,A SEAGULL STANDING NEAR THE OCEAN ON THE SAND,A SEAGULL PLAYING PAYI IN A RAIRFORM ON A SUWAY
63,A SEAGULL STANDING ON THE SAND NEAR THE WATER,A SUITCOS ININ OVN THE SAND NEAR THE WATER
64,THE BIG BIRD IS STANDING ON THE BEACH BY THE WATER,A BIG BUB IN A DINING ROM AN LETOM WITH A BIR
65,A SEAGULL STANDING ON THE SAND OF A BEACH,A TEN ONIS STANCING ON THE SIDE 
66,A BUS FULL OF HAPPY TOURISTS DRIVES DOWN THE STREET,A FRUNT FULLON TRAFFIC AER  I AROA
67,DOUBLE DECKER BUS WITH PEOPLE ON THE TOP FLOOR ON ROAD,SILVER BAK IT GLAL ET CIPAE ON THE TOP OFWAR WHILE WIDING IN
68,A DOUBLE DECKER BUS WITH PEOPLE WAVING FROM THE TOP,A DOUFLE DENTON BUS SIRATO WARING A SUCPE TAN
69,A DOUBLE DECKER BUS DRIVING DOWN A STREET,A DOUBLE DECKER BUS RIDING DOWN A STREET A
70,RED DOUBLE DECKER BUS WITH PEOPLE STANDING ON TOP,A COUPLE DAFFERENT BUGS ATTING FOR SANDING ON A TOP
71,A MAN LEANING HIS MOUTH DOWN TO A PLATE THAT HAS A SANDWICH ON IT AND A BLUE WATER BOTTLE BEHIND IT,A WOVE GUT ROOM AT ATI AN APETA AND LOOKING ONE O
72,A MAN TAKING A BITE OF A SANDWICH WITHOUT USING HIS HANDS,A MAN TAKING A BOTTO OF EXTAMPWIC IBOUT UPIN HIS HAND OTO A MIRORN  MA
73,A MAN EATING A SANDWICH OFF OF A WHITE PLATE,A IS ATA SANDWICH OFF IN A WHITE PHITE 
74,A SMILING GUY STICKING HIS FACE NEAR A BIG SANDWICH,TIME A GUY AN  PLAC WHER E IS WARINGA
75,WITHOUT USING HANDS A MAN TRIES TO BITE A PAIR OF SANDWICHES,I A DITE ENGINE RARS AMOTER TOWARS A BOAT AN LIKS ATE
76,A HUSKY STANDS BY AS A SKIER STANDS THERE,A PERSOY IS STANDING BIL ON BEER HATTING A BAYE
77,A PERSON ON SOME SKIS AND A DOG IN THE SNOW,PAN ON ON ON TO INA ROD A BIZE
