Index,Reference,Hypothesis
1,A URINAL IN A PUBLIC RESTROOM NEAR A WOODEN TABLE,A YARD OIN A PUBLIC RESTAURANT UNDER AN BENCH AN O
2,A WHITE URINAL WHITE TILES A RED TABLE WITH A DISH,AWHITE ANMOTOR TINISA ERENT OE WODEN AAPORD
3,A TABLE WITH A PLATE OF FOOD AND A URINAL BASIN,A DEMIER LADE O WATERA BASEMAL BAN
4,A LITTLE RED TABLE WITH A PLATE ON IT IN THE BATHROOM,AAGOUAN TRAVIN ON TE PLANE ON  IMBEHIND E
5,A URINAL NEXT TO A RED TABLE WITH A PLATE SITTING ON THE TABLE,AEPANE PAIN ON I A MORCYCLE OI ONE LOT
6,A WOMAN HOLDING AN UMBRELLA WALKS PAST THE SIDE OF A BUS WITH A LARGE ADVERTISEMENT ON THE SIDE,A I POLRAE ON BOAKS PAST ESIDA RESAL PONS AN I TREE IN RAS INAR
7,A WOMAN WITH AN UMBRELLA IS WALKING PAST A BUS,AAN WITH LANUMRELLA IS O DES OT
8,A WOMAN WALKING DOWN THE SIDEWALK NEXT TO A BUS,A WALKIN ON A CROSSWALKIN A TABE
9,WOMAN WALKING NEXT TO COMMUTER BUS WITH UMBRELLA ON RAINY DAY,OMEN WALKING NEXT TO A COMANAIT UMBRELLA ON A RAINY AIR
10,A WOMAN HOLDING AN UMBRELLA AND WALKING BESIDE A BUS,OR FLOWING OKIN OVER A LINE ONE SIDE A WARG
11,BLACK AND WHITE PHOTOGRAPH OF YOUNG SCHOOLBOYS,A BLACK AND WHITE FILUP WITH RED SPORTEN SI
12,A BLACK AND WHITE PHOTO OF CHILDREN SITING POSING FOR A PHOTO,A BLACK AND WHITE BOTOJANGE SIT ONON THE TESIDE OF A PAKO
13,A GROUP OF BOYS IN SUITS HOLDING A CHALKBOARD,A OTERFOER AA COMPUTER AN LOOKINHINO
