Index,Reference,Hypothesis
1,A URINAL IN A PUBLIC RESTROOM NEAR A WOODEN TABLE,A URINAL IN A PUBLIC WESTROOM NEAR A WOODEN TABLE
2,A WHITE URINAL WHITE TILES A RED TABLE WITH A DISH,A WHITE URINAL WHITE TIELETS A RED TABLE WITH A DISE AT
3,A TABLE WITH A PLATE OF FOOD AND A URINAL BASIN,A TABLE WITH A PLATE OF FOOD AND A MURIN WITH FACING
4,A LITTLE RED TABLE WITH A PLATE ON IT IN THE BATHROOM,A LITTLE RED TABLE WITH A PLANE ON IT IN THE BATHROOM
5,A URINAL NEXT TO A RED TABLE WITH A PLATE SITTING ON THE TABLE,A DEY METAL NEXT TO A REGE TABLE WITH DISPLAYED TO E COUNTER TABLE
6,A WOMAN HOLDING AN UMBRELLA WALKS PAST THE SIDE OF A BUS WITH A LARGE ADVERTISEMENT ON THE SIDE,A WOMAN HOLDING AN UMBRELLA WALKS PAST THE SIDE OF A BUS WITH A LARGE ADVERTISE PACE ON THE SIDE
7,A WOMAN WITH AN UMBRELLA IS WALKING PAST A BUS,A WOMAN WITH AN UMBRELLA IS WALKING PAST A BUS
8,A WOMAN WALKING DOWN THE SIDEWALK NEXT TO A BUS,A WOMAN WALKING DOWN THE SIDEWALKNG ON A TERPHONE
9,WOMAN WALKING NEXT TO COMMUTER BUS WITH UMBRELLA ON RAINY DAY,A WOMAN WALKING NEXT TO A COMMUTER BUS WITH AN UMBRELLA ON A RAINY DAY
10,A WOMAN HOLDING AN UMBRELLA AND WALKING BESIDE A BUS,A WOMAN HOLDING AN UMBRELLA AND WALKING INSIDE A BUS
11,BLACK AND WHITE PHOTOGRAPH OF YOUNG SCHOOLBOYS,BLACK AND WHITE PHOTOGRAPH OF YOUNG SCHOOL BOYS
12,A BLACK AND WHITE PHOTO OF CHILDREN SITING POSING FOR A PHOTO,A BLACK AND WHITE PHOTO OF CHILDREN SITTING HOLDING TEIR EPHONEE
13,A GROUP OF BOYS IN SUITS HOLDING A CHALKBOARD,A GROUP OF BOYS IN SITS HOLDING A CASSMA
