Index,Reference,Hypothesis
1,A URINAL IN A PUBLIC RESTROOM NEAR A WOODEN TABLE,AN URINALER IN A PUBLIC RESTAURANT UNDER ANA BENCH AIN  AT
2,A WHITE URINAL WHITE TILES A RED TABLE WITH A DISH,A WHITE BO AIN AE TIPA IN A NENTOO IA AT ABORT
3,A TABLE WITH A PLATE OF FOOD AND A URINAL BASIN,A DALE WITTE LAD BOTTE ONAOOTER PUTTING A BASEBALL BAT
4,A LITTLE RED TABLE WITH A PLATE ON IT IN THE BATHROOM,A LITTLE BIR IN TABLI OM TEIR PLAN ON A EDYPAN
5,A URINAL NEXT TO A RED TABLE WITH A PLATE SITTING ON THE TABLE,AA BASEBALLAMEAIN  AAO IIN OE LOT
6,A WOMAN HOLDING AN UMBRELLA WALKS PAST THE SIDE OF A BUS WITH A LARGE ADVERTISEMENT ON THE SIDE,A GOUPEF BOY RID ON ROAKS PAST ESIDE A RESTRA RO E ETRES INERI INE MIRR
7,A WOMAN WITH AN UMBRELLA IS WALKING PAST A BUS,A WAT DOGAN WITH A UMBRELLA IS HOLDING IN A PASTE GA
8,A WOMAN WALKING DOWN THE SIDEWALK NEXT TO A BUS,A VIEW OF A CALKIN ON A ON COCK INO TABE
9,WOMAN WALKING NEXT TO COMMUTER BUS WITH UMBRELLA ON RAINY DAY,OLDMAN WALKING NEXT TO A CEANERDER AN UMBRELLA ON A RAINY DAIR
10,A WOMAN HOLDING AN UMBRELLA AND WALKING BESIDE A BUS,A ROMAN WALKING OVER A LINE WALKING BESIDE A WATE
11,BLACK AND WHITE PHOTOGRAPH OF YOUNG SCHOOLBOYS,A BLACK AND WHITE PILE UP WITH BED SPODIN IN SILVER
12,A BLACK AND WHITE PHOTO OF CHILDREN SITING POSING FOR A PHOTO,A BACTY WHITE BOLIJANK SITTING ON THE OUTSIDE OF A PALDO
13,A GROUP OF BOYS IN SUITS HOLDING A CHALKBOARD,AN OLDORPOE A CONEAN AON A O ON A O BE
14,SCHOOL BOYS SIT CROSS LEGGED IN FRONT OF A CHALKBOARD SIGN IN A VINTAGE BLACK AND WHITE PHOTO,A SMALL ISIAS MA AN IMAGE ON  OTHERSIDEOF A INTOSOL A OE
