Index,Reference,Hypothesis
1,A URINAL IN A PUBLIC RESTROOM NEAR A WOODEN TABLE,A URINAL WITH A PUBLIC RESTAURAN A CONERY WOODEN TABLE
2,A WHITE URINAL WHITE TILES A RED TABLE WITH A DISH,A WHITE URINAL Y PAESIDETE WITH A ICK
3,A TABLE WITH A PLATE OF FOOD AND A URINAL BASIN,A TABLE WITH A TABLE PET ANITED I PACEIN
4,A LITTLE RED TABLE WITH A PLATE ON IT IN THE BATHROOM,A LITTLE RED TABLE IT A PLANE ON IT INTHEBACKO
5,A URINAL NEXT TO A RED TABLE WITH A PLATE SITTING ON THE TABLE,ANTIN MOTAMOL OMPUTER BENCH ON IDE IN ENAEA
6,A WOMAN HOLDING AN UMBRELLA WALKS PAST THE SIDE OF A BUS WITH A LARGE ADVERTISEMENT ON THE SIDE,A WOMAN HOLDING AN UMBRELLA AND BLOCKS PAST ON THE SIDE OF A BUS WITH A CARGE ACTROR AX PACE INSIDE IT
7,A WOMAN WITH AN UMBRELLA IS WALKING PAST A BUS,A OPEN WITH UMBRELLA IS WALKING PAST A BUS
8,A WOMAN WALKING DOWN THE SIDEWALK NEXT TO A BUS,A BUS ACROSSA DOSAN IDEWALK AN A FIELD
9,WOMAN WALKING NEXT TO COMMUTER BUS WITH UMBRELLA ON RAINY DAY,TO WOMEN WALKING NEXT TO COMMUTER BASESH UMBRELLAS ON A RAINY DAY
10,A WOMAN HOLDING AN UMBRELLA AND WALKING BESIDE A BUS,A WOMAN HOLDING AN UMBRELLA AND WALKING ONSIDE ABOVE
11,BLACK AND WHITE PHOTOGRAPH OF YOUNG SCHOOLBOYS,BLACK AND WHITE PHOTOGRAPH OF YOU SCREENER HITS
12,A BLACK AND WHITE PHOTO OF CHILDREN SITING POSING FOR A PHOTO,A BICEWAY CROUP OF CHILDREN SIN  TT CORNER
13,A GROUP OF BOYS IN SUITS HOLDING A CHALKBOARD,A GROUP OF BOYSIN SITS ONTE A APON
14,SCHOOL BOYS SIT CROSS LEGGED IN FRONT OF A CHALKBOARD SIGN IN A VINTAGE BLACK AND WHITE PHOTO,SCHOOBULS WITH COS BILDING IN FRONT OF A TRAFFLIC SIN ON THE INTAGE RASTER BACPILDER
15,SCHOOL CLASS PHOTO FROM THE BOYS SCHOOL OF STANDARD SOUTH CAROLINA,A SCREET BASWAY AITA ITN ESATPAR
16,A MAN ON SKIS FLY THROUGH THE SKY,A MAN ON SKANWITH FLI THROUGH THE TRACK
17,THE SKIER TAKES OFF DOWN THE STEEP HILL,TE TIL TAKES OFF BACKET IN
18,A MAN IS SKIING IN MID JUMP ONTO A RAMP,GIRAFFE IS IT A WOOD TRACK AS IN HE OAN
19,THE SKIER IS LEANING FORWARD WHILE JUMPING THROUGH THE AIR,E SKAER IS LEANING OVER A LOG OF COMPUTER
20,A MAN FLYING THROUGH HE AIR WHILE RIDING,A MAN FLYING THROUGH THEN AIR WHILE RIDING
21,A BASEBALL PLAYER IN A BATTING STANCE AT HOME PLATE WITH THE CATCHER IN POSITION TO CATCH A PITCH,A BASEBALL PLAYER AND A BATTING STANDPRE ON PLATE WITH ATATCHER INTODISN ATTACHED O CINT
22,A MAN AT BAT WAITING FOR A PITCH WITH A CATCHER AND UMPIRE BEHIND HIM AND PLAYERS FROM THE OPPOSING TEAM IN THE DUGOUT,A GAN ON GRASS IR AFORDI WITH A TECTOR AND UMTIRE ATON INAROE ENCLOSURE A ARA
23,A HITTER IS WAITING FOR THE PITCH TO BE THROWN,ME CATERS MAKING FOR THE TICH TO A CARK
24,A BASEBALL PLAYER HOLDS HIS BAT AND WAITS FOR THE PITCH,A BASEBALL PLAYER ON E TU ACPOINTS NOR TE PATCH
25,A BASEBALL PLAYER HOLDING A BAT NEXT TO A BASE,A BASEBALL PLAYER HASING A BAT EEX TO A BI
26,TWO MEN PLAY THE NINTENDO WII CONSOLE WHILE OTHERS WATCH,TWO MOT PLAY AN IHENDE IN CONSOLE OS THE OTHERS WATCH
27,TWO FRIENDS ARE PLAYING EACH OTHER ON THE WII,TWO FRANTS ARE PLAYING WITH EACH OTHER ON THE WII
28,THE TWO MEN ARE PLAYING VIDEO GAMES WHILE OTHERS WATCH,TBOTSA BO AN A VEGEO IN SON OVE LOG
29,A COUPLE OF PEOPLE STANDING IN A ROOM WITH SOME REMOTES,A COUPLE OF PEOPLE STANDING IN A ROOMOF REMOTE
