Index,Reference,Hypothesis
1,A URINAL IN A PUBLIC RESTROOM NEAR A WOODEN TABLE,A GIRINAL IN A PUBLIC DESTROOM CONFUTUROM  MINISMEN A DOG
2,A WHITE URINAL WHITE TILES A RED TABLE WITH A DISH,A WHITE PURNOL OF A ABIN SIT BY TWO OF STAIRCWITH A BO
3,A TABLE WITH A PLATE OF FOOD AND A URINAL BASIN,A TABLE AT PLAT OF E ON A RAN TISING ROOM
4,A LITTLE RED TABLE WITH A PLATE ON IT IN THE BATHROOM,A LITTLE RED TABLE IS LAYING COCH IN  CUT
5,A URINAL NEXT TO A RED TABLE WITH A PLATE SITTING ON THE TABLE,A IT IT AN OPERSON A RATE T CHE
6,A WOMAN HOLDING AN UMBRELLA WALKS PAST THE SIDE OF A BUS WITH A LARGE ADVERTISEMENT ON THE SIDE,IN ALD ARRIDING BOXS PASSED THE SIDE OF A POCE WITH A LARGE APLET ISNI ON THE SIDE
7,A WOMAN WITH AN UMBRELLA IS WALKING PAST A BUS,A SNOWOVER O LIT AN UMBRELLA IS WALKIN PASTA BUS
8,A WOMAN WALKING DOWN THE SIDEWALK NEXT TO A BUS,A MAN IS WALKING DOWN THE SIDEWALK WIT  TOTE AI
9,WOMAN WALKING NEXT TO COMMUTER BUS WITH UMBRELLA ON RAINY DAY,PEOUP OF MEN WALKING NEXT TO A COMMETER BAS WITH UMBRELLA ON A RAINTAIL
10,A WOMAN HOLDING AN UMBRELLA AND WALKING BESIDE A BUS,A STORER HOLDING TO GIRL ON IS WALKING BESIDE A BUS
11,BLACK AND WHITE PHOTOGRAPH OF YOUNG SCHOOLBOYS,A WHITE AND WHITE PHOTOGRAPH TOTI OF TA SITIN IN TE CIT
12,A BLACK AND WHITE PHOTO OF CHILDREN SITING POSING FOR A PHOTO,A PARK AND WHITE BOYITH A JHECTE SI IN A PRIPO AONCT
13,A GROUP OF BOYS IN SUITS HOLDING A CHALKBOARD,A PAP OF BIY SHITSES A O A TISTRET
14,SCHOOL BOYS SIT CROSS LEGGED IN FRONT OF A CHALKBOARD SIGN IN A VINTAGE BLACK AND WHITE PHOTO,TWO MOTORCYCLES LAKING IN A GEIN  LARDER SIN ANIN TOUCH AT AND WHITE VARIETY
15,SCHOOL CLASS PHOTO FROM THE BOYS SCHOOL OF STANDARD SOUTH CAROLINA,A SOF PASTRE ON ALPANT I  OIC ART
16,A MAN ON SKIS FLY THROUGH THE SKY,A BICTONG MAN ON A SKI LOSY FLYING THROUGH THE SKY BY THE BANKOP
17,THE SKIER TAKES OFF DOWN THE STEEP HILL,A SKIER TAKES OFF DOWN THE STEET HILLE
18,A MAN IS SKIING IN MID JUMP ONTO A RAMP,A MAN ON SKI HIS BIT SLOFE TOWARDIN AA AA
19,THE SKIER IS LEANING FORWARD WHILE JUMPING THROUGH THE AIR,SKIER IS MING IN POT AN JUP A E TE
20,A MAN FLYING THROUGH HE AIR WHILE RIDING,O MAN FLYING THROUGH AN AIRPORTIN A PI A IT
21,A BASEBALL PLAYER IN A BATTING STANCE AT HOME PLATE WITH THE CATCHER IN POSITION TO CATCH A PITCH,A BASEBALL PLAYER IN A BATTER STANDS PLACED WITH THE CATCHER POSITION TO CATCH A PITCH
22,A MAN AT BAT WAITING FOR A PITCH WITH A CATCHER AND UMPIRE BEHIND HIM AND PLAYERS FROM THE OPPOSING TEAM IN THE DUGOUT,A A PION IS AN BESH OF A PERSON THIIN OF A AER PART PAING OT A OSO DI
23,A HITTER IS WAITING FOR THE PITCH TO BE THROWN,A HITTER IS TAZING FOR THE PITCH TO HET UP A BALL
24,A BASEBALL PLAYER HOLDS HIS BAT AND WAITS FOR THE PITCH,A BASEBALL PLAYER FOGEET AS E WITS OR A PITCH
25,A BASEBALL PLAYER HOLDING A BAT NEXT TO A BASE,A BASEBALL PLAYER THOLDING A BACH AND SO A TENNIS MT
26,TWO MEN PLAY THE NINTENDO WII CONSOLE WHILE OTHERS WATCH,TWO MEN PLAY OI PANTROTER WI SFI OTHE OTHER TOS
27,TWO FRIENDS ARE PLAYING EACH OTHER ON THE WII,TWO FRIENDS ARE PLAYIN WITH EACH OTHER BY ESI AN  EN
28,THE TWO MEN ARE PLAYING VIDEO GAMES WHILE OTHERS WATCH, O THE SACKATIV BER PLAT VIDEO HHIGLES PREAD O ON FENS BY
29,A COUPLE OF PEOPLE STANDING IN A ROOM WITH SOME REMOTES,A COUPLE OF PEOPLE STANDING IN A RO WITH A STOVEOL
30,TWO COLLEGE AGE BOYS PLAYING WII WHILE OTHERS LOOK ON,TWO IAGE TWO CORLEGE IMAGE POSES AN O
31,A BIRD IS WALKING RIGHT THROUGH A DINING ROOM,A PERGON WALKING RIGDT THROUGH A DINING ROAD
32,A BIRD WALKING THROUGH A CAFETERIA NEXT TO A TABLE,A VERRY COSSING COTUA A SHECKER DOG IN A STREET TATE
33,A GOOSE WALKING INSIDE OF A CAFETERIA AREA,A CNURSE WALK ON INSIDE OF A CASESERYAN AREA
