Index,Reference,Hypothesis
1,A URINAL IN A PUBLIC RESTROOM NEAR A WOODEN TABLE,A ZIBER AND LOIN A CUBLIC HORS SARNG  FIDERIN E ANTANI A FIELD
2,A WHITE URINAL WHITE TILES A RED TABLE WITH A DISH,A WHITE ARA HADI TAPING ZEBRA  TO AL TER IN GRASSY FIELD
3,A TABLE WITH A PLATE OF FOOD AND A URINAL BASIN,STANDU WEEL PLATE WITH AN OLL  OE DISINFONE BOL
4,A LITTLE RED TABLE WITH A PLATE ON IT IN THE BATHROOM,A YOULOW MAN TAVING OO O WAN AIN OCAR
5,A URINAL NEXT TO A RED TABLE WITH A PLATE SITTING ON THE TABLE,A OPORTOF MA RAKING ON A RIDE OONO E STOT DONA ROAD
6,A WOMAN HOLDING AN UMBRELLA WALKS PAST THE SIDE OF A BUS WITH A LARGE ADVERTISEMENT ON THE SIDE,A MAMOON A UMRELWAY WALKS PASSE THE SIDEWALK BAS WITH A LARGE OUO ON SNOTON  SIDEWALK
7,A WOMAN WITH AN UMBRELLA IS WALKING PAST A BUS,TO OMAN OLD AN UMBRELLA IN WATER AHAS DEGOS
8,A WOMAN WALKING DOWN THE SIDEWALK NEXT TO A BUS,A MENTI PLOCKBOATER ON E SIDEWALK WITH A REDY WIVER
9,WOMAN WALKING NEXT TO COMMUTER BUS WITH UMBRELLA ON RAINY DAY,AYOUNG MEN WALKING NOX SHATE COMUTER BUS I HOLDING BOLUP ON A RAINFIELD
10,A WOMAN HOLDING AN UMBRELLA AND WALKING BESIDE A BUS,A WOMAN ALDING AN ORAL ON A POLKING BESIDE A BUS
11,BLACK AND WHITE PHOTOGRAPH OF YOUNG SCHOOLBOYS,GIRL IN WHITE PHOTOGRAPH WOMOL SITTING IN A BAC
12,A BLACK AND WHITE PHOTO OF CHILDREN SITING POSING FOR A PHOTO,A BLACK AND WHITEFORM ITCENONSTNG A A RANING ON A BALL
13,A GROUP OF BOYS IN SUITS HOLDING A CHALKBOARD,A COPEOF AVAS AN I O AN ON AE  BECH
